dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,2,10.0.0.1,10.0.0.3,21186,22584276,46,393000000,46393000000.0,2,219,13632,14531712,454,0,UDP,3,2924,2882,0,0.0,0.0,0,0
30681,3,10.0.0.10,10.0.0.5,521,51058,533,144000000,533000000000.0,7,4920,29,2842,0,1,ICMP,4,342666313,133936209,4740,1.0,4741.0,0,1
34023,7,10.0.0.5,10.0.0.12,925,90650,948,388000000,948000000000.0,3,3034,29,2842,0,1,ICMP,1,134651265,2054,0,0.0,0.0,0,0
33063,7,10.0.0.3,10.0.0.11,642,62916,658,464000000,658000000000.0,3,2364,29,2842,0,1,ICMP,2,69746,135526188,0,0.0,0.0,0,0
25140,4,10.0.0.8,10.0.0.2,683,66934,703,229000000,703000000000.0,5,3009,29,2842,0,1,ICMP,2,133817888,135543314,1,1.0,2.0,0,1
11049,4,10.0.0.3,10.0.0.13,128590,7458220,437,17000000,437000000000.0,4,4357,5877,340866,195,1,TCP,1,4106,1312,0,0.0,0.0,1,0
27137,4,10.0.0.7,10.0.0.1,92124,95670360,351,168000000,351000000000.0,9,948,9092,9446488,303,1,ICMP,1,219593261,219588012,5029,5029.0,10058.0,1,1
26867,4,10.0.0.7,10.0.0.2,36299,37823558,130,542000000,131000000000.0,9,948,9214,9600988,307,1,ICMP,1,48000540,47995494,5107,5107.0,10214.0,1,1
24930,6,10.0.0.10,10.0.0.8,123535,128723470,442,879000000,443000000000.0,7,2997,8812,9182104,293,1,ICMP,2,129008992,128661034,2444,2444.0,4888.0,1,0
5712,4,10.0.0.12,10.0.0.5,109967,114585614,381,770000000,382000000000.0,9,1264,8435,8789270,281,1,ICMP,2,57138,114809270,0,2379.0,2379.0,1,1
...
39992,2,10.0.0.12,10.0.0.7,869,86383,906,812000000,906000000000.0,2,17,29,2842,0,1,ICMP,3,135526188,133936209,1,0.0,1.0,0,0
39993,3,10.0.0.13,10.0.0.2,506,50258,523,202000000,523000000000.0,2,17,29,2842,0,1,ICMP,2,1312,2924,0,0.0,0.0,0,1
39994,1,10.0.0.4,10.0.0.5,738,72662,753,351000000,753000000000.0,2,17,29,2842,0,1,ICMP,1,133936209,135526188,1,1.0,2.0,0,0
39995,7,10.0.0.1,10.0.0.8,1099,108891,1112,468000000,1112000000000.0,2,17,29,2842,0,1,ICMP,3,2882,133817888,0,1.0,1.0,0,1
39996,5,10.0.0.3,10.0.0.4,741,72899,756,874000000,756000000000.0,2,17,29,2842,0,1,ICMP,2,69746,342666313,0,0.0,0.0,0,0
39997,6,10.0.0.11,10.0.0.13,1084,107308,1099,817000000,1099000000000.0,2,17,29,2842,0,1,ICMP,3,2054,134651265,0,1.0,1.0,0,1
39998,4,10.0.0.2,10.0.0.10,521,51058,533,642000000,533000000000.0,2,17,29,2842,0,1,ICMP,4,219588012,219593261,1,1.0,2.0,0,0
39999,1,10.0.0.5,10.0.0.11,642,62916,658,827000000,658000000000.0,2,17,29,2842,0,1,ICMP,2,135526188,69746,1,1.0,2.0,0,1
40000,7,10.0.0.8,10.0.0.1,683,66934,703,945000000,703000000000.0,2,17,29,2842,0,1,ICMP,3,135543314,133817888,1,1.0,2.0,0,0
