dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
1,3,10.0.0.8,10.0.0.5,106343,113361638,235,315000000,235000000000.0,3,8803,13375,14257750,445,0,UDP,2,814088463,6287,3835,0.0,3835.0,0,0
2,7,10.0.0.9,10.0.0.18,704,68992,721,499000000,721000000000.0,5,3443,29,2842,0,0,ICMP,2,152754,135036717,1,1.0,2.0,0,1
3,2,10.0.0.7,10.0.0.2,975,95550,999,956000000,1000000000000.0,7,2063,29,2842,0,1,ICMP,2,32806,29018,0,0.0,0.0,0,0
4,4,10.0.0.2,10.0.0.9,118,11564,121,526000000,122000000000.0,12,2822,29,2842,0,0,ICMP,3,82890,79262,0,0.0,0.0,0,1
5,4,10.0.0.8,10.0.0.5,106597,113632402,236,753000000,237000000000.0,3,8803,13375,14257750,445,0,UDP,3,566379701,6035,0,0.0,0.0,0,0
6,2,10.0.0.7,10.0.0.1,131907,135646886,1760,193000000,1760000000000.0,7,2063,30,2940,1,1,ICMP,2,35732,31944,0,0.0,0.0,1,1
7,4,10.0.0.13,10.0.0.8,9636,10040712,30,846000000,30846000000.0,6,1306,9467,9864614,315,0,UDP,1,3624,1422,0,0.0,0.0,1,0
8,2,10.0.0.10,10.0.0.8,103217,107552114,350,710000000,351000000000.0,2,1943,7597,7916074,253,0,UDP,3,3590,3842,0,0.0,0.0,1,1
9,6,10.0.0.18,10.0.0.7,76360,79567120,243,474000000,243000000000.0,2,1931,9452,9848984,315,0,UDP,2,3413,3539,0,0.0,0.0,1,0
10,3,10.0.0.7,10.0.0.4,55072,2973888,90,664000000,90664000000.0,11,1143,18375,992250,612,1,TCP,4,11803827,239471281,492,8112.0,8604.0,1,1
11,3,10.0.0.1,10.0.0.9,107597,110908102,294,945000000,295000000000.0,4,4059,13375,14257750,445,0,UDP,2,482923991,6018,0,0.0,0.0,0,0
12,7,10.0.0.5,10.0.0.18,711,69640,722,724000000,722000000000.0,5,3443,29,2842,0,0,ICMP,2,152754,135036717,1,1.0,2.0,0,1
13,2,10.0.0.2,10.0.0.7,976,95702,1000,957000000,1000000000000.0,7,2063,29,2842,0,1,ICMP,2,32806,29018,0,0.0,0.0,0,0
14,4,10.0.0.9,10.0.0.2,119,11706,122,527000000,122000000000.0,12,2822,29,2842,0,0,ICMP,3,82890,79262,0,0.0,0.0,0,1
15,4,10.0.0.8,10.0.0.5,106750,113794166,237,754000000,238000000000.0,3,8803,13375,14257750,445,0,UDP,3,566379701,6035,0,0.0,0.0,0,0
16,2,10.0.0.7,10.0.0.1,132060,135808550,1761,194000000,1760000000000.0,7,2063,30,2940,1,1,ICMP,2,35732,31944,0,0.0,0.0,1,1
17,4,10.0.0.13,10.0.0.8,9637,10041874,31,847000000,30846000000.0,6,1306,9467,9864614,315,0,UDP,1,3624,1422,0,0.0,0.0,1,0
18,2,10.0.0.10,10.0.0.8,103320,107663280,351,711000000,351000000000.0,2,1943,7597,7916074,253,0,UDP,3,3590,3842,0,0.0,0.0,1,1
19,6,10.0.0.18,10.0.0.7,76463,79678312,244,475000000,244000000000.0,2,1931,9452,9848984,315,0,UDP,2,3413,3539,0,0.0,0.0,1,0
20,3,10.0.0.7,10.0.0.4,55175,2985050,91,665000000,90665000000.0,11,1143,18375,992250,612,1,TCP,4,11803827,239471281,492,8112.0,8604.0,1,1
21,3,10.0.0.1,10.0.0.9,107698,110919264,295,946000000,296000000000.0,4,4059,13375,14257750,445,0,UDP,2,482923991,6018,0,0.0,0.0,0,0
22,7,10.0.0.5,10.0.0.18,712,69792,723,725000000,723000000000.0,5,3443,29,2842,0,0,ICMP,2,152754,135036717,1,1.0,2.0,0,1
23,2,10.0.0.2,10.0.0.7,977,95854,1001,958000000,1000000000000.0,7,2063,29,2842,0,1,ICMP,2,32806,29018,0,0.0,0.0,0,0
24,4,10.0.0.9,10.0.0.2,120,11858,123,528000000,122000000000.0,12,2822,29,2842,0,0,ICMP,3,82890,79262,0,0.0,0.0,0,1
25,4,10.0.0.8,10.0.0.5,106853,113905328,238,755000000,239000000000.0,3,8803,13375,14257750,445,0,UDP,3,566379701,6035,0,0.0,0.0,0,0
26,2,10.0.0.7,10.0.0.1,132163,135969714,1762,195000000,1760000000000.0,7,2063,30,2940,1,1,ICMP,2,35732,31944,0,0.0,0.0,1,1
27,4,10.0.0.13,10.0.0.8,9638,10043018,32,848000000,30846000000.0,6,1306,9467,9864614,315,0,UDP,1,3624,1422,0,0.0,0.0,1,0
28,2,10.0.0.10,10.0.0.8,103423,107774644,352,712000000,352000000000.0,2,1943,7597,7916074,253,0,UDP,3,3590,3842,0,0.0,0.0,1,1
29,6,10.0.0.18,10.0.0.7,76566,79789480,245,476000000,245000000000.
