dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,1,10.0.0.1,10.0.0.4,0,0,0,0,0,2,4,0,0,0,0,1,ICMP,3,856,2668,0,0,0,1
6492,3,10.0.0.7,10.0.0.2,704,69776,123,246000000,123000000000,3,1931,29,2842,0,0,UDP,2,3339,4266,0,0,0,1
11515,4,10.0.0.3,10.0.0.9,34597,14782222,257,428000000,257000000000,5,2385,8012,663228,267,1,TCP,4,6030042,105767,0,0,2,0
29832,5,10.0.0.10,10.0.0.6,91478,85599258,435,728000000,436000000000,7,4357,10255,9853152,341,1,ICMP,5,135758389,135559596,148,386,3421,1
42005,7,10.0.0.5,10.0.0.11,260006,147128002,1881,999000000,1880000000000,12,8803,18898,14953872,629,1,UDP,3,990596183,1269981973,20580,16577,20580,0
26897,1,10.0.0.1,10.0.0.7,108,10584,111,165000000,111000000000.0,4,948,29,2842,0,1,ICMP,3,15463,67405855,0,5186.0,5186.0,0
6282,4,10.0.0.11,10.0.0.5,999,97902,1051,975000000,1050000000000.0,12,3421,1,98,0,0,ICMP,5,264901701,57284725,5050,2528.0,7578.0,0
12055,3,10.0.0.5,10.0.0.8,49846,53135836,110,678000000,111000000000.0,3,2242,13663,14564758,455,0,UDP,3,5522,500523450,0,3838.0,3838.0,0
30651,7,10.0.0.3,10.0.0.10,394,38612,403,57000000,403000000000.0,11,4920,30,2940,1,1,ICMP,4,188624725,135565721,4531,0.0,4531.0,0
30852,1,10.0.0.1,10.0.0.7,1994,195412,1850,281000000,1850000000000.0,3,2063,29,2842,0,1,ICMP,2,135553363,102868,0,0.0,0.0,0
3549,7,10.0.0.3,10.0.0.5,103763,108121046,347,526000000,348000000000.0,2,7916,8196,8540232,273,0,UDP,2,672904961,5699,2298,0.0,2298.0,1
11335,5,10.0.0.20,10.0.0.8,50836,52971112,160,790000000,161000000000.0,3,1790,9442,9838564,314,0,UDP,1,3663,1422,0,0.0,0.0,1
41313,7,10.0.0.3,10.0.0.14,77018,4467044,256,585000000,257000000000.0,5,8050,8892,515736,296,1,TCP,1,4745,1242,0,0.0,0.0,1
4997,5,10.0.0.8,10.0.0.9,103650,5597100,166,373000000,166000000000.0,11,2373,18361,991494,612,1,TCP,2,9235921,156828136,141,131.0,272.0,1
3789,4,10.0.0.7,10.0.0.5,7760,8272160,16,647000000,16647000000.0,2,8225,0,0,0,0,UDP,3,5909,700128421,0,0.0,0.0,1
15202,1,10.0.0.2,10.0.0.10,13,1464,14,92000000,14000000000.0,2,5027,6,732,0,0,UDP,2,4920,921,0,0,0,1
23572,3,10.0.0.4,10.0.0.7,39,3564,39,449000000,39000000000.0,5,3071,7,714,0,0,TCP,1,939,3672,0,0,0,0
37188,2,10.0.0.8,10.0.0.4,15,1488,15,22000000,15000000000.0,2,5102,7,744,0,0,TCP,3,936,4264,0,0,0,1
45010,7,10.0.0.6,10.0.0.11,17,1728,17,223000000,17000000000.0,2,9072,9,816,0,0,UDP,4,3304,912,0,0,0,0
49043,5,10.0.0.11,10.0.0.9,20,1984,20,28000000,20000000000.0,2,9052,10,992,0,0,ICMP,2,912,3296,0,0,0,1
56321,1,10.0.0.10,10.0.0.2,7,672,7,88000000,7000000000.0,2,9077,3,336,0,0,UDP,5,3528,936,0,0,0,0
60666,4,10.0.0.5,10.0.0.3,9,864,9,117000000,9000000000.0,2,9072,4,448,0,0,TCP,1,4264,936,0,0,0,1
67888,6,10.0.0.9,10.0.0.7,13,1344,13,170000000,13000000000.0,2,9077,6,672,0,0,ICMP,3,936,3528,0,0,0,0
73848,2,10.0.0.4,10.0.0.8,10,960,10,130000000,10000000000.0,2,9052,5,560,0,0,UDP,4,3296,912,0,0,0,1
79234,7,10.0.0.11,10.0.0.10,18,1728,18,244000000,18000000000.0,2,9072,9,816,0,0,TCP,2,912,3304,0,0,0,0
85710,3,10.0.0.7,10.0.0.5,20,1984,20,28000000,20000000000.0,2,9052,10,992,0,0,UDP,5,3528,936,0,0,0,1
92644,1,10.0.0.2,10.0.0.4,14,1408,14,185000000,14000000000.0,2,5027,7,784,0,0,TCP,3,921,4920,0,0,0,0
98765,6,10.0.0.8,10.0.0.6,7,672,7,88000000,7000000000.0,2,9077,3,336,0,0,ICMP,4,936,3528,0,0,0,1
100021,4,10.0.0.3,10.0.0.10,13,1344,13,170000000,13000000000.0,2,9072,6,672,0,0,UDP,2,936,4264,0,0,0,0
