dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
11365,5,130762,139392292,290,271000000,290000000000.0,3,1790,13529,14421914,450,0,UDP,2,3803,1402,0,0.0,0.0,0,0
31251,2,981,96138,1003,190000000,1000000000000.0,5,4942,29,2842,0,1,ICMP,1,104640,135560110,0,0.0,0.0,0,0
7128,5,33404,1937432,106,561000000,107000000000.0,7,11888,9389,544562,312,1,TCP,3,105861679,7312223,4193,465.0,4658.0,0,0
31101,5,227,22246,232,882000000,233000000000.0,9,4942,29,2842,0,1,ICMP,2,134059983,406705325,3,3.0,6.0,0,0
2578,4,39032,41608112,83,618000000,83618000000.0,2,1814,13529,14421914,450,0,UDP,3,83871080,3572,7676,0.0,7676.0,0,0
3369,4,134681,143569946,312,784000000,313000000000.0,4,7916,5655,6028230,188,0,UDP,2,4468,1382,0,0.0,0.0,1,0
24761,5,76030,4105620,266,143000000,266000000000.0,5,10817,7994,431676,266,1,TCP,4,14792385,156900951,245,341.0,586.0,1,1
10659,4,31700,1711800,50,880000000,50880000000.0,6,4357,18116,978264,603,1,TCP,4,4219668,77589046,312,4204.0,4516.0,1,1
11395,4,37961,39555362,120,852000000,121000000000.0,8,1943,9402,9796884,313,0,UDP,1,3845,6739898,0,1796.0,1796.0,1,1
3459,1,135003,143913198,307,151000000,307000000000.0,2,7916,10322,11003252,344,0,UDP,1,5268,278546882,0,0.0,0.0,1,1
2577,2,48,5381,2,8000000,2000000000.0,2,4,12,719,0,1,TCP,2,20,20,0,0.0,0.0,0,0
7128,3,4222,158664,21,82000000,212000000000.0,3,1931,29,2842,0,1,ICMP,1,12,17,0,0.0,0.0,0,0
3369,5,4555,647730,16,62000000,162000000000.0,2,1814,13529,14421914,450,0,UDP,3,7,9,0,0.0,0.0,0,0
24761,4,567,4567,8,30000000,88000000000.0,4,7916,5655,6028230,188,0,UDP,2,10,12,0,0.0,0.0,0,0
10659,2,9,9000,1,20000000,11000000000.0,3,4942,29,2842,0,1,ICMP,2,13,14,0,0.0,0.0,0,0
11395,1,1000,11000,3,40000000,13000000000.0,4,1943,9402,9796884,313,0,UDP,1,20,21,0,0.0,0.0,0,0
3459,7,4000,40000,4,70000000,14000000000.0,5,7916,10322,11003252,344,0,UDP,1,20,22,0,0.0,0.0,0,0
2577,5,1000,10000,2,50000000,12000000000.0,6,4,12,719,0,1,TCP,2,20,20,0,0.0,0.0,0,1
7128,4,2000,20000,3,60000000,13000000000.0,7,1931,29,2842,0,1,ICMP,1,12,17,0,0.0,0.0,0,1
3369,2,3000,30000,4,70000000,14000000000.0,8,1814,13529,14421914,450,0,UDP,3,7,9,0,0.0,0.0,0,1
24761,1,4000,40000,5,80000000,15000000000.0,9,7916,5655,6028230,188,0,UDP,2,10,12,0,0.0,0.0,0,1
10659,7,1000,10000,1,20000000,11000000000.0,10,4942,29,2842,0,1,ICMP,2,13,14,0,0.0,0.0,0,1
11395,4,2000,20000,2,40000000,12000000000.0,11,1943,9402,9796884,313,0,UDP,1,20,21,0,0.0,0.0,0,1
3459,2,3000,30000,3,60000000,13000000000.0,12,7916,10322,11003252,344,0,UDP,1,20,22,0,0.0,0.0,0,1
2577,1,4000,40000,4,70000000,14000000000.0,13,4,12,719,0,1,TCP,2,20,20,0,0.0,0.0,0,0
7128,7,1000,10000,1,20000000,11000000000.0,14,1931,29,2842,0,1,ICMP,1,12,17,0,0.0,0.0,0,0
3369,4,2000,20000,2,40000000,12000000000.0,15,1814,13529,14421914,450,0,UDP,3,7,9,0,0.0,0.0,0,0
24761,2,3000,30000,3,60000000,13000000000.0,16,7916,5655,6028230,188,0,UDP,2,10,12,0,0.0,0.0,0,0
10659,1,4000,40000,4,70000000,14000000000.0,17,4942,29,2842,0,1,ICMP,2,13,14,0,0.0,0.0,0,0
11395,7,1000,10000,1,20000000,11000000000.0,18,1943,9402,9796884,313,0,UDP,1,20,21,0,0.0,0.0,0,0
3459,4,2000,20000,2,40000000,12000000000.0,19,7916,10322,11003252,344,0,UDP,1,20,22,0,0.0,0.0,0,0
2577,2,3000,30000,3,60000000,13000000000.0,20,4,12,719,0,1,TCP,2,20,20,0,0.0,0.0,0,1
7128,1,4000,40000,4,70000000,14000000000.0,21,1931,29,2842,0,1,ICMP,1,12,17,0,0.0,0.0,0,1
3369,7,1000,10000,1,20000000,11000000000.0,22,1814,13529,14421914,450,0,UDP,3,7,9,0,0.0,0.0,0,1
24761,4,2000,20000,2,40000000,12000000000.0,23,7916,5655,6028230,188,0,UDP,2,10,12,0,0.0,0.0,0,1
10659,2,3000,30000,3,60000000,13000000000.0,24,4942,29,2842,0,1,ICMP,2,13,14,0,0.0,0.0,0,1
11395,1,4000,40000,4,70000000,14000000000.0,25,1943,9402,9796884,313,0,UDP,1,20,21,0,0.0,0.0,0,1
3459,4,1000,10000,1,20000000,11000000000.0,26,7916,10322,11003252,344,0,UDP,1,20,22,0,0.0,0.0,0,1
2577,7,2000,20000,2,40000000,12000000000.0,27,4,12,719,0,1,TCP,2,20,20,0,0.0,0.0,0,0
7128,2,3000,30000,3,60000000,13000000000.0,28,1931,29,2842,0,1,ICMP,1,12,17,0,0.0,0.0,0,0
3369,1,4000,40000,4,70000000,14000000000.0,29,1814,13529,14421914,450,0,UDP,3,7,9,0,0.0,0.0,0,0
2476
