dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
9966,3,104853,111773298,232,94000000,232000000000.0,4,1931,13532,14425112,451,0,UDP,3,196046295,3791,6459,0.0,6459.0,0,1
2608,4,52475,55938350,113,622000000,114000000000.0,3,2375,13443,14330238,448,0,UDP,1,3598,62263702,0,5404.0,5404.0,0,0
31101,5,227,22246,232,882000000,233000000000.0,9,4942,29,2842,0,1,ICMP,3,406456333,135884417,3,3.0,6.0,0,1
11965,3,31782,33879612,70,520000000,70520000000.0,3,2242,13525,14417650,450,0,UDP,3,287897858,4556,0,0.0,0.0,0,0
30861,2,600,58800,613,135000000,613000000000.0,3,4920,29,2842,0,1,ICMP,2,133740829,2130,0,0.0,0.0,0,0
29472,4,123539,128295286,470,80000000,470000000000.0,7,1057,8174,8489932,272,1,ICMP,3,65744,135525618,0,0.0,0.0,1,1
24611,5,24197,1403426,78,658000000,78658000000.0,7,10817,9204,533832,306,1,TCP,3,94008321,7224545,4324,457.0,4781.0,1,1
27768,5,83266,86763172,294,386000000,294000000000.0,6,2790,8692,9057064,289,1,ICMP,2,223018365,147528759,2445,4905.0,7350.0,1,0
7327,5,105546,6121668,356,785000000,357000000000.0,5,12106,8727,506166,290,1,TCP,3,157110423,19180015,250,268.0,518.0,1,1
2679,2,57240,59644080,195,755000000,196000000000.0,3,2385,7674,7996308,255,0,UDP,2,3801,1242,0,0.0,0.0,1,1
...
9966,3,4000,111773298,232,94000000,232000000000.0,4,1931,4000,14425112,451,0,UDP,3,196046295,3791,6459,0.0,6459.0,0,0
2608,4,4000,55938350,113,622000000,114000000000.0,3,2375,4000,14330238,448,0,UDP,1,3598,62263702,0,5404.0,5404.0,0,1
31101,5,4000,22246,232,882000000,233000000000.0,9,4942,4000,2842,0,1,ICMP,3,406456333,135884417,3,3.0,6.0,0,0
11965,3,4000,33879612,70,520000000,70520000000.0,3,2242,4000,14417650,450,0,UDP,3,287897858,4556,0,0.0,0.0,0,1
30861,2,4000,58800,613,135000000,613000000000.0,3,4920,4000,2842,0,1,ICMP,2,133740829,2130,0,0.0,0.0,0,0
29472,4,4000,128295286,470,80000000,470000000000.0,7,1057,4000,8489932,272,1,ICMP,3,65744,135525618,0,0.0,0.0,1,1
24611,5,4000,1403426,78,658000000,78658000000.0,7,10817,4000,533832,306,1,TCP,3,94008321,7224545,4324,457.0,4781.0,1,0
27768,5,4000,86763172,294,386000000,294000000000.0,6,2790,4000,9057064,289,1,ICMP,2,223018365,147528759,2445,4905.0,7350.0,1,1
7327,5,4000,6121668,356,785000000,357000000000.0,5,12106,4000,506166,290,1,TCP,3,157110423,19180015,250,268.0,518.0,1,0
2679,2,4000,59644080,195,755000000,196000000000.0,3,2385,4000,7996308,255,0,UDP,2,3801,1242,0,0.0,0.0,1,1
