dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,1,0,0,0,0,0,2,4,0,0,0,0,ICMP,1,2668,856,0,0,0,1
6918,3,769,75754,121,238000000,121000000000,3,1931,29,2842,0,1,UDP,2,4425,3413,0,0,0,0
11635,4,39341,9551360,250,423000000,251000000000,5,2790,8324,651552,277,0,TCP,3,231511,9897209,0,0,2,1
29922,5,92938,82781700,417,721000000,417000000000,7,4920,12659,9838564,421,1,UDP,4,135577081,135892103,175,503,3838,0
42935,7,260006,147128002,1881,999000000,1880000000000,12,13797,19190,14953872,639,1,TCP,5,1269981973,990596183,20580,16577,20580,1
30853,3,90270,5958096,290,719000000,291000000000,11,3982,9965,657690,332,1,TCP,2,5381,2271936,0,133,133,0
26657,5,20,1960,21,165000000,21165000000,3,10,0,0,0,1,ICMP,2,5327,5327,0,0,0,1
32643,2,184,18032,188,514000000,189000000000,11,2364,30,2940,1,1,ICMP,3,51219,31677765,1,2848,2849,1
12085,3,63340,67520440,140,680000000,141000000000,3,2242,13494,14384604,449,0,UDP,3,6432,861882566,0,7682,7682,0
11395,4,76487,81535142,168,826000000,169000000000,8,1943,13464,14352624,448,0,UDP,1,3845,6739898,0,1796,1796,1
29352,2,89457,92892290,350,58000000,350000000000,6,1057,8941,9289146,298,1,ICMP,2,4442,1312,0,0,0,0
30973,7,63007,3402378,210,221000000,210000000000,2,3982,8343,450522,278,1,TCP,1,6448689,145705554,0,0,0,0
3249,5,14937,15564354,47,170000000,47170000000,4,7894,9516,9915672,317,0,UDP,1,4266,1312,0,0,0,1
2829,5,98542,102680764,347,334000000,347000000000,2,4440,9168,9553056,305,0,UDP,2,7573,1444,0,0,0,1
11559,3,141911,7663194,234,98000000,234000000000,5,6696,16502,891108,550,1,TCP,4,29287529,327382321,257,358,615,0
14441,6,1856,189721,55,146000000,55146000000,2,1456,631,143792,17,1,ICMP,2,3678,1809,0,0,0,1
27991,2,619,63655,14,99000000,1499000000,3,722,0,0,0,1,UDP,3,2851,5498,0,0,0,0
24336,6,1414,141474,43,151000000,43151000000,4,1437,1414,141474,0,1,TCP,4,5234,4456,0,0,0,1
15991,1,3,3,1,3000000,10000000,2,3,3,3,0,1,ICMP,2,3,3,0,0,0,0
19051,4,1263,128262,38,129000000,38129000000,3,1263,1263,128262,0,1,TCP,1,1263,1263,0,0,0,1
16078,3,1335,133559,41,133000000,41133000000,2,1335,1335,133559,0,1,UDP,3,1335,1335,0,0,0,0
41795,5,2376,241885,71,188000000,71188000000,2,2376,2376,241885,0,1,TCP,2,2376,2376,0,0,0,1
37357,2,14,14,1,14000000,100000000,2,14,14,14,0,1,ICMP,4,14,14,0,0,0,1
39072,6,98,9819,3,20000000,320000000,2,98,98,9819,0,1,UDP,1,98,98,0,0,0,0
17963,3,4,4,1,4000000,10000000,2,4,4,4,0,1,ICMP,3,4,4,0,0,0,1
27890,4,15,15,1,15000000,10000000,2,15,15,15,0,1,TCP,2,15,15,0,0,0,0
20786,1,3,3,1,3000000,10000000,2,3,3,3,0,1,ICMP,1,3,3,0,0,0,1
23400,7,10,10,1,10000000,10000000,2,10,10,10,0,1,UDP,3,10,10,0,0,0,1
29073,5,7,7,1,7000000,10000000,2,7,7,7,0,1,TCP,4,7,7,0,0,0,0
35100,4,20,20,1,20000000,10000000,2,20,20,20,0,1,UDP,1,20,20,0,0,0,1
13150,3,1,1,1,1000000,10000000,2,1,1,1,0,1,ICMP,2,1,1,0,0,0,1
39995,1,2,2,1,2000000,10000000,2,2,2,2,0,1,TCP,3,2,2,0,0,0,0
18684,6,6,6,1,6000000,10000000,2,6,6,6,0,1,UDP,4,6,6,0,0,0,1
25007,2,8,8,1,8000000,10000000,2,8,8,8,0,1,ICMP,1,8,8,0,0,0,0
