dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
6822,5,196,19208,201,330000000,201000000000.0,11,3443,29,2842,0,0,ICMP,2,5428,1542,0,0.0,0.0,0,0
33933,5,837,82026,858,416000000,858000000000.0,7,3034,29,2842,0,1,ICMP,3,135159227,271190655,1,1.0,2.0,0,0
33273,5,193,18914,198,341000000,198000000000.0,8,2936,29,2842,0,1,ICMP,3,134770428,151314052,2,2572.0,2574.0,0,0
29832,1,810,79380,830,154000000,830000000000.0,5,2053,30,2940,1,1,ICMP,3,97258,271004006,1,1.0,2.0,0,0
32583,7,174,17052,178,498000000,178000000000.0,5,2364,30,2940,1,1,ICMP,4,4256,4004,0,0.0,0.0,0,0
11275,4,169,176098,0,843000000,843000000.0,6,1306,0,0,0,0,UDP,1,3514,1422,0,0.0,0.0,1,1
30561,4,59434,61930228,212,756000000,213000000000.0,9,4920,8808,9177936,293,1,ICMP,3,273287301,133912717,4889,2.0,4891.0,1,1
11545,2,134936,143841776,320,409000000,320000000000.0,4,1943,4288,4571008,142,0,UDP,2,3845,1472,0,0.0,0.0,1,1
5267,5,124264,7207312,433,918000000,434000000000.0,5,2373,8153,472874,271,1,TCP,1,7547024,7023264,0,0.0,0.0,1,1
10026,4,44971,46859782,143,341000000,143000000000.0,5,1931,9439,9835438,314,0,UDP,1,4097,187742338,0,6455.0,6455.0,1,1
81845,2,2588,261754,53,350000000,53000000000.0,7,2764,20,1684,0,1,ICMP,3,13538,271220,0,0.0,0.0,0,0
81720,2,2725,275300,56,900000000,56000000000.0,8,2751,20,1684,0,1,ICMP,3,13529,271290,0,0.0,0.0,0,0
71543,3,716,73532,84,300000000,84000000000.0,9,2532,25,2160,0,1,ICMP,4,4121,4005,0,0.0,0.0,0,0
71154,3,743,76266,87,318000000,87000000000.0,9,2519,25,2160,0,1,ICMP,4,4118,4002,0,0.0,0.0,0,0
81114,4,3166,322780,103,820000000,103000000000.0,5,2063,20,1684,0,0,ICMP,2,5432,1546,0,0.0,0.0,0,0
...
35984,2,2537,256512,54,300000000,54000000000.0,7,2767,20,1684,0,1,ICMP,3,13537,271210,0,0.0,0.0,0,1
36473,3,744,76376,87,321000000,87000000000.0,9,2518,25,2160,0,1,ICMP,4,4117,4001,0,0.0,0.0,0,1
35125,1,3186,323796,105,800000000,105000000000.0,5,2062,20,1684,0,0,ICMP,2,5431,1545,0,0.0,0.0,0,1
38254,5,198,19408,203,336000000,203000000000.0,11,3444,29,2842,0,0,ICMP,2,5429,1543,0,0.0,0.0,0,1
34885,4,3166,322780,103,820000000,103000000000.0,5,2063,20,1684,0,0,ICMP,2,5432,1546,0,0.0,0.0,0,1
