dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
12085,4,85739,91397774,190,244000000,190000000000.0,3,2242,13494,14384604,449,0,UDP,2,4602,279386824,0,0.0,0.0,0,0
3159,4,47987,51154142,102,762000000,103000000000.0,3,7503,13548,14442168,451,0,UDP,3,276816490,3669590,0,977.0,977.0,0,0
29832,6,243,23814,249,987000000,250000000000.0,7,2053,29,2842,0,1,ICMP,3,125972,181382662,1,2557.0,2558.0,0,0
11605,3,126292,134627272,280,307000000,280000000000.0,4,1943,13531,14424046,451,0,UDP,2,3590,3842,0,0.0,0.0,0,0
25241,1,46851,3092310,144,10000000,144000000000.0,3,12862,9760,644196,325,1,TCP,3,217664438,9289861,3924,171.0,4095.0,0,0
10809,3,94374,5096196,152,767000000,153000000000.0,7,4357,18650,1007100,621,1,TCP,4,10083431,156393539,291,3720.0,4011.0,1,1
29742,6,17165,17885930,59,463000000,59463000000.0,6,1857,8789,9158138,292,1,ICMP,1,5016,1312,0,0.0,0.0,1,1
11559,3,173659,9377586,284,114000000,284000000000.0,5,6696,16537,892998,551,1,TCP,1,7523149,7001552,0,0.0,0.0,1,1
25241,7,26911,1453194,43,988000000,43988000000.0,9,12862,18642,1006668,621,1,TCP,2,22790798,227913614,513,11906.0,12419.0,1,1
3279,6,24158,25172636,77,286000000,77286000000.0,4,7916,9211,9597862,307,0,UDP,1,5198,278546882,0,0.0,0.0,1,1
13288,2,37794,54768954,326,976000000,326000000000.0,8,7273,4231,4863134,400,1,TCP,2,85645,71720,0,0.0,0.0,0,0
22136,3,83819,72056624,231,411000000,231100000000.0,9,6725,9338,8175886,360,0,UDP,4,2088,94500,0,0.0,0.0,0,0
6244,4,94724,101846200,170,851000000,170851000000.0,6,4176,14127,11492758,468,1,TCP,3,62450,3315,0,0.0,0.0,1,1
43036,1,26002,12996820,198,724000000,198000000000.0,5,10756,10975,654942,547,1,TCP,4,98950,1467,0,0.0,0.0,0,0
17012,5,37863,58180798,299,921000000,299000000000.0,7,5992,6129,7449968,377,1,TCP,2,2514,94500,0,0.0,0.0,0,0
17984,7,61117,74211120,180,937000000,180937000000.0,9,4335,7180,8676968,362,0,UDP,3,2436,278546882,0,0.0,0.0,1,1
...
99988,3,84725,90859290,243,743000000,243743000000.0,8,5837,10336,12178820,445,1,TCP,2,85645,71720,0,0.0,0.0,0,0
36524,7,53801,78827274,220,857000000,220857000000.0,9,7160,7444,8767228,364,1,TCP,3,276816490,3669590,0,977.0,977.0,0,0
22214,1,87841,93601078,291,965000000,291965000000.0,4,6132,13494,14384604,449,1,UDP,4,2088,94500,0,0.0,0.0,1,1
43125,4,25123,14451626,176,737000000,176737000000.0,6,11756,10975,654942,547,0,TCP,1,98950,1467,0,0.0,0.0,0,0
16982,5,83786,58180798,299,921000000,299000000000.0,7,5992,6129,7449968,377,1,TCP,2,2514,94500,0,0.0,0.0,0,0
19654,7,61117,74211120,180,937000000,180937000000.0,9,4335,7180,8676968,362,0,UDP,3,2436,278546882,0,0.0,0.0,1,1
...
99998,3,84725,90859290,243,743000000,243743000000.0,8,5837,10336,12178820,445,1,TCP,2,85645,71720,0,0.0,0.0,0,0
36524,7,53801,78827274,220,857000000,220857000000.0,9,7160,7444,8767228,364,1,TCP,3,276816490,3669590,0,977.0,977.0,0,0
22214,1,87841,93601078,291,965000000,291965000000.0,4,6132,13494,14384604,449,1,UDP,4,2088,94500,0,0.0,0.0,1,1
43125,4,25123,14451626,176,737000000,176737000000.0,6,11756,10975,654942,547,0,TCP,1,98950,1467,0,0.0,0.0,0,0
39912,3,49807,47897302,108,743000000,108743000000.0,5,6102,13494,14384604,449,1,UDP,2,4602,279386824,0,0.0,0.0,0,0
