dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
10026,2,132077,140794082,293,128000000,293000000000.0,4,1931,13535,14428310,451,0,UDP,2,3759,1402,0,0.0,0.0,0,1
3189,4,38965,41536690,84,508000000,84508000000.0,3,7503,13539,14432574,451,0,UDP,1,4330,42061534,0,3838.0,3838.0,0,1
24900,6,497,48706,513,206000000,513000000000.0,7,2997,29,2842,0,1,ICMP,2,119843960,119496002,2418,2418.0,4836.0,0,1
27167,7,518,50764,531,218000000,531000000000.0,4,948,29,2842,0,1,ICMP,1,4828,1402,0,0.0,0.0,0,1
10689,5,60183,3972246,184,423000000,184000000000.0,6,4357,9998,659868,333,1,TCP,3,5414087,93235520,318,4189.0,4507.0,0,1
2859,4,106386,110854212,377,78000000,377000000000.0,2,4440,7901,8232842,263,0,UDP,3,3833,3483,0,0.0,0.0,1,1
9936,4,16682,17382644,53,329000000,53329000000.0,6,1931,9435,9831270,314,0,UDP,3,3959,164816371,0,10298.0,10298.0,1,1
10296,3,118773,123761466,413,384000000,413000000000.0,2,1931,6237,6498954,207,0,UDP,2,3826,1312,0,0.0,0.0,1,1
30591,7,67296,70122432,241,41000000,241000000000.0,11,4920,8132,8473544,271,1,ICMP,1,290025115,154192122,4573,4573.0,9146.0,1,1
9846,6,19668,20494056,63,456000000,63456000000.0,3,1910,9239,9627038,307,0,UDP,1,3542,6470592,0,1725.0,1725.0,1,1
25798,4,813,81442,87,876000000,87000000000.0,5,2790,59,5592,0,1,TCP,3,927,1402,0,0.0,0.0,0,0
13806,2,879,89020,92,920000000,92000000000.0,3,1931,46,4368,0,1,TCP,2,1716,1402,0,0.0,0.0,0,0
2489,3,876,88444,90,904000000,90400000000.0,2,1931,44,4176,0,1,TCP,1,1796,1402,0,0.0,0.0,0,0
7999,2,1245,127170,115,116000000,115000000000.0,4,1931,62,5920,0,1,TCP,3,1851,1402,0,0.0,0.0,0,0
28892,6,945,95470,97,968000000,97000000000.0,3,1931,48,4544,0,1,TCP,2,1831,1402,0,0.0,0.0,0,0
...
39996,6,945,95470,97,968000000,97000000000.0,3,1931,48,4544,0,1,TCP,2,1831,1402,0,0.0,0.0,0,1
39997,5,876,88444,90,904000000,90400000000.0,2,1931,44,4176,0,1,TCP,1,1796,1402,0,0.0,0.0,0,1
39998,4,879,89020,92,920000000,92000000000.0,3,1931,46,4368,0,1,TCP,2,1716,1402,0,0.0,0.0,0,1
39999,3,813,81442,87,876000000,87000000000.0,5,2790,59,5592,0,1,TCP,3,927,1402,0,0.0,0.0,0,1
40000,2,876,88444,90,904000000,90400000000.0,2,1931,44,4176,0,1,TCP,1,1796,1402,0,0.0,0.0,0,1
