dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,1,0,0,0,0,0,2,4,0,0,0,0,TCP,1,2668,856,0,0,0,1
6918,3,769,75754,121,238000000,121000000000,3,1931,29,2842,0,0,UDP,1,4425,3413,0,0,0,0
11635,4,39341,9551360,250,423000000,251000000000,5,2790,8324,651552,277,1,TCP,2,231511,9897209,0,0,2,1
29922,5,92938,82781700,417,721000000,417000000000,7,4920,12659,9838564,421,1,UDP,3,135577081,135892103,175,503,3838,1
42935,7,260006,147128002,1881,999000000,1880000000000,12,13797,19190,14953872,639,1,ICMP,5,1269981973,990596183,20580,16577,20580,1
4119,4,133605,142422930,296,782000000,297000000000.0,2,8803,13368,14250288,445,0,UDP,2,8109,1584,0,0.0,0.0,0
11515,3,130513,139126858,289,466000000,289000000000.0,5,1943,13307,14185262,443,0,UDP,3,231187421,4169,7676,0.0,7676.0,0
9816,5,59904,63857664,132,876000000,133000000000.0,3,1109,13542,14435772,451,0,UDP,3,3236,3320,0,0.0,0.0,0
2638,5,66054,70413564,145,332000000,145000000000.0,3,2375,13527,14419782,450,0,UDP,1,3534,1172,0,0.0,0.0,0
11515,1,85676,91330616,190,726000000,191000000000.0,3,1943,13306,14184196,443,0,UDP,2,4131,222318288,0,2587.0,2587.0,0
9846,2,5967,6360822,12,891000000,12891000000.0,3,1910,0,0,0,0,UDP,2,3542,1172,0,0.0,0.0,1
11619,6,86672,4680288,288,636000000,289000000000.0,3,6696,8095,437130,269,1,TCP,4,13993149,161099237,0,0.0,0.0,1
31033,3,77084,4470872,264,471000000,264000000000.0,5,3982,7531,436798,251,1,TCP,4,16313063,159115349,232,324.0,556.0,1
10086,2,63599,66270158,203,394000000,203000000000.0,3,1931,9387,9781254,312,0,UDP,2,3413,3539,0,0.0,0.0,1
5562,6,66749,69552458,227,506000000,228000000000.0,2,1264,8652,9015384,288,1,ICMP,2,4487,70016677,0,2440.0,2440.0,1
36125,1,17001,17603602,101,946000000,101946000000.0,3,4695,0,0,0,0,TCP,3,1189,1189,0,0.0,0.0,0
20983,2,63621,68550082,202,500000000,202500000000.0,4,2984,8299,9060158,290,1,UDP,4,1172,1172,0,0.0,0.0,1
1592,4,139024,146610496,285,922000000,286000000000.0,2,6152,13900,14608320,444,0,UDP,2,856,856,0,0.0,0.0,0
25132,5,66992,70498664,146,569000000,146569000000.0,3,3125,13362,14302072,449,0,TCP,2,1172,3539,0,0.0,0.0,1
20247,1,0,0,0,0,0,3,4698,0,0,0,0,UDP,1,856,2668,0,0,0,0
25761,7,260006,147128002,1881,999000000,1880000000000,12,13797,19190,14953872,639,1,ICMP,5,1269981973,990596183,20580,16577,20580,1
17457,3,92938,82781700,417,721000000,417000000000,7,4920,12659,9838564,421,1,TCP,3,135577081,135892103,175,503,3838,0
33892,4,59904,63857664,132,876000000,133000000000.0,3,1109,13542,14435772,451,0,UDP,3,3236,3320,0,0.0,0.0,1
19092,2,5967,6360822,12,891000000,12891000000.0,3,1910,0,0,0,0,TCP,2,3542,1172,0,0.0,0.0,0
6737,6,66749,69552458,227,506000000,228000000000.0,2,1264,8652,9015384,288,1,UDP,2,4487,70016677,0,2440.0,2440.0,1
16095,5,66054,70413564,145,332000000,145000000000.0,3,2375,13527,14419782,450,0,ICMP,1,3534,1172,0,0.0,0.0,0
24069,1,85676,91330616,190,726000000,191000000000.0,3,1943,13306,14184196,443,0,TCP,2,4131,222318288,0,2587.0,2587.0,1
18082,2,63621,68550082,202,500000000,202500000000.0,4,2984,8299,9060158,290,1,ICMP,4,1172,1172,0,0.0,0.0,0
39998,4,133605,142422930,296,782000000,297000000000.0,2,8803,13368,14250288,445,0,TCP,2,8109,1584,0,0.0,0.0,1
20283,3,130513,139126858,289,466000000,289000000000.0,5,1943,13307,14185262,443,0,ICMP,3,231187421,4169,7676,0.0,7676.0,1
