dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
31281,6,999,97902,1033,142000000,1030000000000.0,7,4942,18,1764,0,1,ICMP,1,105836,101398,0,0.0,0.0,0,0
10026,3,86838,92569308,191,698000000,192000000000.0,4,1931,13535,14428310,451,0,UDP,1,3546,1402,0,0.0,0.0,0,0
28548,4,254,24892,260,971000000,261000000000.0,9,2800,29,2842,0,1,ICMP,2,271472253,271473945,2,2.0,4.0,0,0
29412,4,497,48706,510,150000000,510000000000.0,9,1057,29,2842,0,1,ICMP,3,59822,135519766,0,2010.0,2010.0,0,0
6132,1,177,17346,181,587000000,182000000000.0,4,3421,29,2842,0,0,ICMP,1,5878,135462138,0,0.0,0.0,0,0
11485,4,34153,35587426,110,292000000,110000000000.0,6,1943,9256,9644752,308,0,UDP,4,4211,245551059,0,2580.0,2580.0,1,1
28128,1,131498,135606804,1341,368000000,1340000000000.0,5,2790,29,2842,0,1,ICMP,3,215453,271133915,1,1.0,2.0,1,1
15065,5,9137,603186,29,118000000,29118000000.0,5,7412,0,0,0,1,TCP,5,308398715,59191373,167,3920.0,4087.0,1,1
5267,5,124664,7230512,438,669000000,439000000000.0,5,2373,8107,470206,270,1,TCP,2,13469533,160769894,126,117.0,243.0,1,1
30793,4,16035,865890,25,585000000,25585000000.0,7,3982,0,0,0,1,TCP,3,90050132,5637112,4281,418.0,4699.0,1,1
...
99987,4,3832,378655,377,120000000,37712000000.0,8,3512,0,0,0,1,TCP,2,134545,27111245,0,0.0,0.0,0,0
99988,3,3941,384939,420,140000000,42014000000.0,8,2790,0,0,0,1,TCP,3,1351230,27114562,0,0.0,0.0,0,0
99989,7,3999,395989,428,144000000,428144000000.0,8,3241,0,0,0,1,TCP,1,1351230,27114562,0,0.0,0.0,0,1
99990,2,4000,399000,429,145000000,429145000000.0,8,3512,0,0,0,1,TCP,4,134545,27111245,0,0.0,0.0,0,1
99991,5,1000,98000,103,140000000,103140000000.0,7,4942,18,1764,0,1,ICMP,2,105836,101398,0,0.0,0.0,0,1
99992,1,999,97901,1032,141000000,103200000000.0,7,4942,18,1764,0,1,ICMP,3,105836,101398,0,0.0,0.0,0,0
99993,6,998,97900,1031,140000000,103110000000.0,7,4942,18,1764,0,1,ICMP,4,105836,101398,0,0.0,0.0,0,0
99994,4,997,97899,1030,139000000,103010000000.0,7,4942,18,1764,0,1,ICMP,5,105836,101398,0,0.0,0.0,0,1
99995,3,996,97898,1029,138000000,1029138000000.0,7,4942,18,1764,0,1,ICMP,1,105836,101398,0,0.0,0.0,0,0
99996,2,995,97897,1028,137000000,1028137000000.0,7,4942,18,1764,0,1,ICMP,2,105836,101398,0,0.0,0.0,0,1
99997,1,994,97896,1027,136000000,1027136000000.0,7,4942,18,1764,0,1,ICMP,3,105836,101398,0,0.0,0.0,0,0
99998,6,993,97895,1026,135000000,1026135000000.0,7,4942,18,1764,0,1,ICMP,4,105836,101398,0,0.0,0.0,0,1
99999,5,992,97894,1025,134000000,1025134000000.0,7,4942,18,1764,0,1,ICMP,5,105836,101398,0,0.0,0.0,0,0
