dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
3849,3,11916,12702456,25,243000000,25243000000.0,3,8803,0,0,0,0,UDP,2,8109,1584,0,0.0,0.0,0,1
11485,3,117206,124941596,259,462000000,259000000000.0,5,1943,13533,14426178,451,0,UDP,1,4047,143926620,0,0.0,0.0,0,0
31371,3,442,43316,452,942000000,453000000000.0,5,4942,30,2940,1,1,ICMP,4,406781863,134136451,1,1.0,2.0,0,1
31131,4,207,20286,212,741000000,213000000000.0,9,4942,29,2842,0,1,ICMP,3,406717323,134071981,3,3.0,6.0,0,0
33243,3,164,16072,168,320000000,168000000000.0,11,2936,29,2842,0,1,ICMP,1,6129780,5983286,1626,1588.0,3214.0,0,1
29652,2,130634,135522132,650,100000000,650000000000.0,5,1069,29,2842,0,1,ICMP,4,135603066,271049646,1,1.0,2.0,1,0
10056,4,85575,89169150,273,432000000,273000000000.0,5,1931,9226,9613492,307,0,UDP,4,3959,233265711,0,2600.0,2600.0,1,1
24671,7,54893,3183794,186,801000000,187000000000.0,5,10817,9083,526814,302,1,TCP,1,5349,1402,0,0.0,0.0,1,0
11455,4,24897,25942674,80,289000000,80289000000.0,6,1943,9242,9630164,308,0,UDP,2,4137,91947776,0,2571.0,2571.0,1,1
10116,4,72904,75965968,233,345000000,233000000000.0,4,1931,9314,9705188,310,0,UDP,4,356036611,4379,6421,0.0,6421.0,1,0
9876,2,3768,3858384,19,192000000,1919000000.0,3,886,0,0,0,0,UDP,4,3790,1472,0,0.0,0.0,0,1
27093,4,3900,4007000,18,180000000,1818000000.0,3,1931,0,0,0,0,UDP,3,3937,1584,0,0.0,0.0,0,0
39251,3,203,20652,202,403000000,203000000000.0,5,4942,31,3040,1,1,ICMP,2,406728803,134123051,1,1.0,2.0,0,1
12071,5,1119,117588,113,226000000,113000000000.0,3,2936,0,0,0,1,ICMP,4,6129780,5983286,1626,1588.0,3214.0,0,0
18383,2,1406,145032,132,263000000,132000000000.0,5,1069,29,2842,0,1,ICMP,1,135603066,271049646,1,1.0,2.0,1,1
41993,4,788,81248,75,150000000,7515000000.0,3,1931,0,0,0,0,UDP,2,8109,1584,0,0.0,0.0,0,0
...
37006,2,3293,338924,17,340000000,1734000000.0,3,886,0,0,0,0,UDP,1,4047,143926620,0,0.0,0.0,0,1
35238,3,1145,119700,110,220000000,110000000000.0,3,2936,0,0,0,1,ICMP,4,6129780,5983286,1626,1588.0,3214.0,0,0
32651,2,1447,149604,133,266000000,133000000000.0,5,1069,29,2842,0,1,ICMP,1,135603066,271049646,1,1.0,2.0,1,1
36892,4,816,84544,76,152000000,7615000000.0,3,1931,0,0,0,0,UDP,2,8109,1584,0,0.0,0.0,0,0
4000,7,5022,527500,214,428000000,214428000000.0,5,10817,9083,526814,302,1,TCP,1,5349,1402,0,0.0,0.0,1,1
