dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,1,0,0,0,0,0,2,4,0,0,0,0,ICMP,3,2668,856,0,0,0,0
6918,3,769,75754,121,238000000,121000000000,3,1931,29,2842,0,0,UDP,2,4425,3413,0,0,0,1
11635,4,39341,9551360,250,423000000,251000000000,5,2790,8324,651552,277,1,TCP,3,231511,9897209,0,0,2,0
29922,5,92938,82781700,417,721000000,417000000000,7,4920,12659,9838564,421,1,ICMP,2,135577081,135892103,175,503,3838,1
42935,7,260006,147128002,1881,999000000,1880000000000,12,13797,19190,14953872,639,1,UDP,4,1269981973,990596183,20580,16577,20580,0
34113,4,310,30380,318,170000000,318000000000.0,9,3034,29,2842,0,1,ICMP,3,135219399,271250869,1,1.0,2.0,0
3189,5,61552,65614432,133,341000000,133000000000.0,3,7503,13538,14431508,451,0,UDP,3,4136,3590,0,0.0,0.0,1
2608,2,52436,55896776,113,16000000,113000000000.0,5,2375,13442,14329172,448,0,TCP,2,3624,1172,0,0.0,0.0,0
11395,3,121816,129855856,270,855000000,271000000000.0,6,1943,13463,14351558,448,0,UDP,2,3413,3665,0,0.0,0.0,1
25181,5,15049,16510930,34,72000000,34072000000.0,7,10852,13244,14516856,441,1,ICMP,3,167993060,62495662,173,3923.0,4096.0,0
5682,6,101255,105507710,347,519000000,348000000000.0,2,1264,8750,9117500,291,1,UDP,2,4683,105838679,0,2424.0,2424.0,0
29862,3,24411,25436262,79,853000000,79853000000.0,10,2053,9288,9678096,309,1,TCP,4,161208992,271129782,2577,3.0,2580.0,1
32853,7,117744,122689248,348,371000000,348000000000.0,5,2364,10245,10675290,341,1,UDP,4,4529,4277,0,0.0,0.0,0
11635,3,134933,143838578,310,311000000,310000000000.0,4,1943,8641,9211306,288,0,ICMP,4,3842,3520,0,0.0,0.0,1
11905,4,4552,4852432,10,233000000,10233000000.0,2,2175,0,0,0,0,TCP,4,4556,279389270,0,0.0,0.0,0
13893,2,958,94700,6,70000000,6070000000.0,3,1426,0,0,0,0,UDP,3,3118,731,0,0,0,1
7694,1,13,1300,0,10000000,1000000000.0,2,4,0,0,0,0,ICMP,4,11,12,0,0,0,0
8791,3,3,300,0,30000000,3030000000.0,2,4,0,0,0,0,TCP,2,20,280,0,0,0,1
37490,7,13,1300,0,50000000,5050000000.0,2,4,0,0,0,0,UDP,3,11,12,0,0,0,0
13405,2,17,1700,0,40000000,4040000000.0,2,4,0,0,0,0,ICMP,3,20,280,0,0,0,0
22671,5,9,900,0,60000000,6060000000.0,2,4,0,0,0,0,TCP,4,11,12,0,0,0,1
28890,4,20,2000,0,70000000,7070000000.0,2,4,0,0,0,0,UDP,2,20,280,0,0,0,0
...
41719,7,20,2000,0,30000000,3030000000.0,2,4,0,0,0,0,TCP,3,20,280,0,0,0,1
14648,2,18,1800,0,60000000,6060000000.0,2,4,0,0,0,0,UDP,4,11,12,0,0,0,0
71542,6,3,300,0,20000000,2020000000.0,2,4,0,0,0,0,ICMP,2,11,12,0,0,0,1
19073,4,3,300,0,90000000,9090000000.0,2,4,0,0,0,0,TCP,4,11,12,0,0,0,0
94595,7,3,300,0,40000000,4040000000.0,2,4,0,0,0,0,UDP,3,11,12,0,0,0,1
84476,5,3,300,0,10000000,1010000000.0,2,4,0,0,0,0,ICMP,4,11,12,0,0,0,0
100000,3,3,300,0,50000000,5050000000.0,2,4,0,0,0,0,TCP,3,11,12,0,0,0,1
