dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,1,0,0,0,0,0,2,4,0,0,0,0,UDP,3,2668,856,0,0,0,1
3999,3,79511,84758726,175,254000000,175000000000.0,3,8803,13554,14448564,451,0,UDP,3,700128421,5951,0,0.0,0.0,0
6918,3,769,75754,121,238000000,121000000000,3,1931,29,2842,0,0,UDP,1,4425,3413,0,0,0,1
11635,4,39341,9551360,250,423000000,251000000000,5,2790,8324,651552,277,1,ICMP,3,231511,9897209,0,0,2,0
12025,4,58582,62448412,130,240000000,130000000000.0,3,2242,13478,14367548,449,0,UDP,2,4056,1562,0,0.0,0.0,1
17756,3,51530,41367874,322,467921078,322719606179,5,3954,6541,5325006,217,0,TCP,2,90294747,90311305,979,979,1959,0
29922,5,92938,82781700,417,721000000,417000000000,7,4920,12659,9838564,421,1,TCP,3,135577081,135892103,175,503,3838,0
32853,3,438,42924,448,472000000,448000000000.0,5,2364,30,2940,1,1,ICMP,3,122803999,121989281,2838,2838.0,5676.0,1
41193,5,82446,4452084,143,163000000,143000000000.0,7,8050,17097,923238,569,1,TCP,2,5085,1242,0,0.0,0.0,0
42935,7,260006,147128002,1881,999000000,1880000000000,12,13797,19190,14953872,639,1,UDP,5,1269981973,990596183,20580,16577,20580,1
11455,2,103808,110659328,230,401000000,230000000000.0,4,1943,13533,14426178,451,0,UDP,2,3845,1402,0,0.0,0.0,0
24660,7,267,26166,273,202000000,273000000000.0,5,2997,30,2940,1,1,ICMP,1,48259435,1738,2361,0.0,2361.0,1
31093,4,108972,6320376,378,900000000,379000000000.0,5,3982,8579,497582,285,1,TCP,2,5346,1312,0,0.0,0.0,0
3339,5,42904,44705968,137,178000000,137000000000.0,4,7916,9376,9769792,312,0,UDP,1,4540,114029564,0,3838.0,3838.0,0
30822,2,131965,135652570,1820,229000000,1820000000000.0,5,2063,29,2842,0,1,ICMP,1,105803,135561902,0,0.0,0.0,0
...
2488,1,0,0,0,0,0,2,4,0,0,0,0,UDP,3,2668,856,0,0,0,0
3999,3,79511,84758726,175,254000000,175000000000.0,3,8803,13554,14448564,451,0,UDP,3,700128421,5951,0,0.0,0.0,1
6918,3,769,75754,121,238000000,121000000000,3,1931,29,2842,0,0,UDP,1,4425,3413,0,0,0,0
11635,4,39341,9551360,250,423000000,251000000000,5,2790,8324,651552,277,1,ICMP,3,231511,9897209,0,0,2,1
12025,4,58582,62448412,130,240000000,130000000000.0,3,2242,13478,14367548,449,0,UDP,2,4056,1562,0,0.0,0.0,0
17756,3,51530,41367874,322,467921078,322719606179,5,3954,6541,5325006,217,0,TCP,2,90294747,90311305,979,979,1959,1
29922,5,92938,82781700,417,721000000,417000000000,7,4920,12659,9838564,421,1,TCP,3,135577081,135892103,175,503,3838,1
32853,3,438,42924,448,472000000,448000000000.0,5,2364,30,2940,1,1,ICMP,3,122803999,121989281,2838,2838.0,5676.0,0
41193,5,82446,4452084,143,163000000,143000000000.0,7,8050,17097,923238,569,1,TCP,2,5085,1242,0,0.0,0.0,1
42935,7,260006,147128002,1881,999000000,1880000000000,12,13797,19190,14953872,639,1,UDP,5,1269981973,990596183,20580,16577,20580,0
11455,2,103808,110659328,230,401000000,230000000000.0,4,1943,13533,14426178,451,0,UDP,2,3845,1402,0,0.0,0.0,1
24660,7,267,26166,273,202000000,273000000000.0,5,2997,30,2940,1,1,ICMP,1,48259435,1738,2361,0.0,2361.0,0
31093,4,108972,6320376,378,900000000,379000000000.0,5,3982,8579,497582,285,1,TCP,2,5346,1312,0,0.0,0.0,1
3339,5,42904,44705968,137,178000000,137000000000.0,4,7916,9376,9769792,312,0,UDP,1,4540,114029564,0,3838.0,3838.0,1
30822,2,131965,135652570,1820,229000000,1820000000000.0,5,2063,29,2842,0,1,ICMP,1,105803,135561902,0,0.0,0.0,0
....
