dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
3189,5,61552,65614432,133,341000000,133000000000.0,3,7503,13538,14431508,451,0,UDP,2,66074396,4220,3838,0.0,3838.0,0,1
30591,6,335,32830,343,60000000,343000000000.0,7,4920,29,2842,0,1,ICMP,2,135743199,290186299,1,4572.0,4573.0,0,1
9966,2,59937,63892842,132,900000000,133000000000.0,4,1931,13532,14425112,451,0,UDP,4,3539,3199,0,0.0,0.0,0,0
30861,6,697,68306,713,206000000,713000000000.0,5,4920,29,2842,0,1,ICMP,1,105752,101398,0,0.0,0.0,0,0
24611,4,85632,5652164,286,183000000,286000000000.0,9,10817,9803,647010,326,1,TCP,4,7224545,94008321,457,4324.0,4781.0,0,1
2919,4,122867,128027414,437,82000000,437000000000.0,2,4440,8314,8663188,277,0,UDP,1,4013,1312,0,0.0,0.0,1,1
42425,6,114096,6617568,401,869000000,402000000000.0,3,13231,8293,480994,276,1,TCP,4,21726853,20000549,126,117.0,243.0,1,1
2949,2,116269,121152298,417,479000000,417000000000.0,3,4440,8120,8461040,270,0,UDP,2,4123,1312,0,0.0,0.0,1,1
15155,5,41646,2248884,68,686000000,68686000000.0,11,11471,18354,991116,611,1,TCP,1,349664,322370,91,85.0,176.0,1,1
11665,2,87608,91287536,290,711000000,291000000000.0,2,1943,7947,8280774,264,0,UDP,4,4514,279389270,0,0.0,0.0,1,1
16888,4,711,71723,257,719000000,257000000000.0,3,4920,30,2842,0,1,ICMP,1,4212,4123,0,0.0,0.0,0,0
14479,2,37127,39892024,146,234000000,146000000000.0,4,1931,13532,14425112,451,0,UDP,4,3539,3199,0,0.0,0.0,0,0
11030,3,1618,167734,186,824000000,186000000000.0,2,4440,8314,8663188,277,0,UDP,1,4013,1312,0,0.0,0.0,1,1
2747,1,20646,21143090,128,600000000,128000000000.0,3,7503,13538,14431508,451,0,UDP,2,66074396,4220,3838,0.0,3838.0,0,0
...
33195,4,3677,370041,125,912000000,125000000000.0,2,1943,7947,8280774,264,0,UDP,4,4514,279389270,0,0.0,0.0,1,1
37100,7,8,8256,4,90000000,4000000000.0,1,4,4,2048,0,0,ICMP,2,4123,4123,0,0.0,0.0,0,0
38500,1,400,400000,20,900000000,200000000000.0,2,1943,7947,8280774,264,0,UDP,1,4013,1312,0,0.0,0.0,1,1
39800,2,4000,4000000,200,900000000,200000000000.0,2,1943,7947,8280774,264,0,UDP,2,4123,1312,0,0.0,0.0,1,1
42935,7,260006,147128002,1881,999000000,1880000000000.0,12,13797,19190,14953872,639,1,UDP,5,1269981973,990596183,20580,16577,20580.0,1,1
