dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
32433,2,27,2646,28,458000000,28458000000.0,5,16,0,0,0,1,ICMP,2,3925,1102,0,0.0,0.0,0
31515,4,999,97902,1062,965000000,1060000000000.0,5,2063,4,392,0,1,ICMP,2,271613636,271626972,0,0.0,0.0,0
2829,1,43073,45915818,95,671000000,95671000000.0,3,4440,13601,14498666,453,0,UDP,1,614262017,3300,8912,0.0,8912.0,1
28488,3,244,23912,250,927000000,251000000000.0,9,2800,29,2842,0,1,ICMP,3,271329621,135871159,2,2.0,4.0,0
25140,3,80,7840,83,60000000,83060000000.0,5,3009,29,2842,0,1,ICMP,3,133809684,135535068,0,0.0,0.0,1
9846,4,19657,20482594,63,414000000,63414000000.0,5,1910,9239,9627038,307,0,UDP,3,3236,3362,0,0.0,0.0,0
27197,7,129996,135455832,461,211000000,461000000000.0,4,948,2338,2436196,77,1,ICMP,2,4828,1402,0,0.0,0.0,1
5472,2,26861,27989162,90,58000000,90058000000.0,3,1264,8915,9289430,297,1,ICMP,3,4613,28421827,0,2471.0,2471.0,0
30012,2,131162,135573876,1010,161000000,1010000000000.0,5,2053,59,5782,1,1,ICMP,2,5128,1382,0,0.0,0.0,1
3369,5,134708,143598728,313,359000000,313000000000.0,4,7916,5655,6028230,188,0,UDP,4,5172,475176076,0,4126.0,4126.0,0
...
39672,1,977,93887,107,898000000,107898000000.0,5,2520,8,744,0,1,ICMP,3,135518,135867,0,0.0,0.0,1
7252,4,11892,12392904,84,567000000,84567000000.0,5,1536,6771,7153786,222,0,UDP,2,2716,1402,0,0.0,0.0,0
33689,3,19,1962,21,350000000,21350000000.0,5,17,0,0,0,1,ICMP,1,856,3925,0,0.0,0.0,1
14889,2,3109,3199490,35,252000000,70520000000.0,3,715,2257,2349630,71,1,ICMP,4,1358,475176076,0,4126.0,4126.0,0
3269,1,4000,4000000,100,400000000,100400000000.0,5,20,4000,4000000,400,0,UDP,2,2716,1402,0,0.0,0.0,1
