dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,1,0,0,0,0,0,2,4,0,0,0,0,TCP,1,856,2668,0,0,0,0
6918,3,769,75754,121,238000000,121000000000,3,1931,29,2842,0,0,UDP,2,3413,4425,0,0,0
11635,4,39341,9551360,250,423000000,251000000000,5,2790,8324,651552,277,1,ICMP,3,9897209,231511,0,0,2
29922,5,92938,82781700,417,721000000,417000000000,7,4920,12659,9838564,421,1,TCP,4,135892103,135577081,503,175,3838
42935,7,260006,147128002,1881,999000000,1880000000000,12,13797,19190,14953872,639,1,UDP,5,990596183,1269981973,16577,20580,20580
33993,5,144,14112,148,133000000,148000000000,7,3034,29,2842,0,1,ICMP,1,15970,20067,0,0,0
3189,6,61623,65690118,135,932000000,136000000000,3,7503,13538,14431508,451,0,UDP,1,1312,4266,0,0,0
33243,1,867,84966,888,513000000,889000000000,7,2936,29,2842,0,1,ICMP,1,135548770,92476,0,0,0
41073,1,52828,3486800,173,211000000,173000000000,5,3663,9707,640722,323,1,TCP,1,84893082,3492666,3924,168,4092
33543,6,457,44786,468,340000000,468000000000,7,3024,30,2940,1,1,ICMP,3,242168457,134959605,2656,5,2661
29502,3,130487,135507726,500,77000000,500000000000,5,1057,6948,7212440,231,1,ICMP,4,271020190,135573694,1909,1909,3818
2859,6,106455,110926110,377,441000000,377000000000,2,4440,7901,8232842,263,0,UDP,2,4491,253469465,0,2188,2188
24510,7,6128,6385376,22,793000000,22793000000,5,817,0,0,0,1,ICMP,2,1172,4302,0,0,0
26837,3,26972,28104824,99,791000000,99791000000,6,948,7889,8220338,262,1,ICMP,2,1172,4282,0,0,0
27377,4,130576,135516448,591,190000000,591000000000,9,956,29,2842,0,1,ICMP,3,135538302,78428,1,1,2
22962,7,6124,6383944,21,976000000,21976000000,3,819,0,0,0,1,TCP,2,1272,4307,0,0,0
27286,5,1220,1239108,87,945000000,87945000000,4,1225,0,0,0,1,UDP,3,135546302,78430,1,0,1
34239,1,67,65792,60,500000000,60500000000,6,958,29,2842,0,1,ICMP,4,271020202,135573894,1909,1909,3818
37176,2,3265,3327320,209,845000000,209845000000,7,3032,30,2940,1,1,TCP,5,990596182,1269981972,16577,20580,20580
20896,4,18104,18686080,112,921000000,112921000000,2,4444,7902,8232844,263,0,UDP,1,1312,4267,0,0,0
24209,3,18119,18692076,113,952000000,113952000000,5,1058,6949,7212442,231,1,ICMP,2,1173,4283,0,0,0
38776,3,26,25792,24,961000000,20961000000,7,3033,30,2940,1,1,TCP,3,135546303,78431,1,1,2
40451,1,9,8832,8,831000000,8831000000,4,1226,0,0,0,1,UDP,4,271020203,135573895,1909,1909,3818
37372,5,3122,3178736,203,945000000,80345000000,2,4445,7903,8232846,263,0,UDP,5,990596183,1269981973,16577,20580,20580
39378,2,13,12672,12,845000000,20845000000,3,820,0,0,0,1,TCP,1,857,2669,0,0,0
32379,6,8,7952,7,831000000,7831000000,5,1059,6950,7212444,231,1,ICMP,2,1174,4284,0,0,0
27937,4,17,16672,16,845000000,20845000000,6,959,29,2842,0,1,TCP,3,135546304,78432,1,1,2
22607,3,3,2912,3,831000000,7831000000,7,3034,30,2940,1,1,UDP,4,271020204,135573896,1909,1909,3818
30348,1,9,8832,8,831000000,8831000000,2,4446,7904,8232848,263,0,UDP,5,990596184,1269981974,16577,20580,20580
25949,7,7,6912,6,831000000,7831000000,3,821,0,0,0,1,TCP,1,858,2670,0,0,0
25102,6,5,4832,4,831000000,7831000000,4,1227,0,0,0,1,ICMP,2,1175,4285,0,0,0
26259,5,4,3712,3,831000000,7831000000,5,1060,6951,7212446,231,1,UDP,3,135546305,78433,1,1,2
22897,4,3,2912,3,831000000,7831000000,6,960,29,2842,0,1,TCP,4,271020205,135573897,1909,1909,3818
39596,3,2,1792,2,831000000,7831000000,7,3035,30,2940,1,1,UDP,5,990596185,1269981975,16577,20580,20580
32135,2,1,872,1,831000000,7831000000,3,822,0,0,0,1,TCP,1,859,2671,0,0,0
32622,1,0,0,0,831000000,7831000000,4,1228,0,0,0,1,ICMP,2,1176,4286,0,0,0
23156,7,0,0,0,831000000,7831000000,5,1061,6952,7212448,231,1,UDP,3,135546306,78434,1,1,2
30784,6,0,0,0,831000000,7831000000,6,961,29,2842,0,1,TCP,4,271020206,135573898,1909,1909,3818
24368,5,0,0,0,831000000,7831000000,7,3036,30,2940,1,1,UDP,5,990596186,1269981976,16577,20580,20580
37962,4,0,0,0,831000000,7831000000,3,823,0,0,0,1,TCP,1,860,2672,0,0,0
34951,3,0,0,0,831000000,7831000000,4,1229,0,0,0,1,ICMP,2,1177,4287,0,0,0
30871,2,0,0,0,831000000,7831000000,5,1062,6953,7212450,231,1,UDP,3,135546307,78435,1,1,2
23249,1,0,0,0,831000000,7831000000,6,962,29,2842,0,1,TCP,4,271020207,135573899,1909,1909,3818
38109,7,0,0,0,831000000,7831000000,7,3037,30,2940,1,1,UDP,5,990596187,1269981977,16577,20580,20580
39991,6,0,0,0,831000000,7831000000,3,824,0,0,0,1,TCP,1,861,2673,0,0,0
25637,5,0,0,0,831000000,7831000000,4,1230,0,0,0,1,ICMP,2,1178
