dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
3159,4,47987,51154142,102,762000000,103000000000.0,3,7503,13548,14442168,451,0,"UDP",1,4266,1312,0,0.0,0.0,0,0
11335,3,94824,101082384,210,851000000,211000000000.0,5,1790,13525,14417650,450,0,"UDP",1,3663,1422,0,0.0,0.0,0,0
12145,3,90345,96307770,200,706000000,201000000000.0,3,2242,13527,14419782,450,0,"UDP",2,4213,1542,0,0.0,0.0,0,0
5322,4,89,8722,91,851000000,91851000000.0,7,14,29,2842,0,0,"ICMP",4,30688,31094,2,2.0,4.0,0,0
30912,4,399,39102,409,825000000,410000000000.0,5,2063,29,2842,0,1,"ICMP",2,271500292,271513628,1,1.0,2.0,0,0
14585,2,31976,1726704,103,855000000,104000000000.0,5,7385,8932,482328,297,1,"TCP",2,7760825,133775151,313,4068.0,4381.0,1,1
10146,2,82158,85608636,263,397000000,263000000000.0,3,1931,9245,9633290,308,0,"UDP",1,3546,1402,0,0.0,0.0,1,1
24960,2,118359,123330078,422,501000000,423000000000.0,5,2997,8569,8928898,285,1,"ICMP",3,57162,123565128,0,2371.0,2371.0,1,1
31033,5,92428,5360824,316,268000000,316000000000.0,4,3982,7519,436102,250,1,"TCP",1,5143,1242,0,0.0,0.0,1,1
11379,3,64739,3495906,104,105000000,104000000000.0,9,6696,18802,1015308,626,1,"TCP",1,7522972,7001482,0,0.0,0.0,1,1
23456,3,879,8799,99,856000000,990000000000.0,2,4,20,2842,0,0,"UDP",2,4266,1312,0,0.0,0.0,0,0
34678,4,9000,90000,100,900000000,1000000000000.0,3,7503,13548,14442168,451,0,"TCP",1,4266,1312,0,0.0,0.0,0,0
45891,1,90000,9000000,999,990000000,999000000000.0,4,1790,13525,14417650,450,0,"ICMP",3,3663,1422,0,0.0,0.0,0,0
56789,2,87000,87000000,888,888000000,888000000000.0,5,2242,13527,14419782,450,0,"TCP",4,4213,1542,0,0.0,0.0,1,1
67890,5,80000,80000000,777,777000000,777000000000.0,6,14,29,2842,0,1,"ICMP",2,30688,31094,2,2.0,4.0,0,0
78901,4,70000,70000000,666,666000000,666000000000.0,7,2063,29,2842,0,0,"UDP",1,271500292,271513628,1,1.0,2.0,1,1
89012,3,60000,60000000,555,555000000,555000000000.0,8,7385,8932,482328,297,1,"TCP",2,7760825,133775151,313,4068.0,4381.0,0,0
90123,2,50000,50000000,444,444000000,444000000000.0,9,1931,9245,9633290,308,0,"ICMP",3,3546,1402,0,0.0,0.0,1,1
01234,1,40000,40000000,333,333000000,333000000000.0,10,2997,8569,8928898,285,1,"UDP",4,57162,123565128,0,2371.0,2371.0,0,0
12345,5,30000,30000000,222,222000000,222000000000.0,11,3982,7519,436102,250,1,"TCP",1,5143,1242,0,0.0,0.0,1,1
23456,4,20000,20000000,111,111000000,111000000000.0,12,6696,18802,1015308,626,1,"ICMP",2,7522972,7001482,0,0.0,0.0,0,0
34567,3,10000,10000000,4,4000000,40000000000.0,2,4,20,2842,0,0,"UDP",3,4266,1312,0,0.0,0.0,1,1
45678,2,4000,4000000,3,3000000,30000000000.0,3,7503,13548,14442168,451,0,"TCP",4,4266,1312,0,0.0,0.0,0,0
56789,1,3000,3000000,2,2000000,20000000000.0,4,1790,13525,14417650,450,0,"ICMP",1,3663,1422,0,0.0,0.0,1,1
67890,5,2000,2000000,1,1000000,10000000000.0,5,2242,13527,14419782,450,0,"UDP",2,4213,1542,0,0.0,0.0,0,0
78901,4,1000,1000000,0,0,0.0,6,14,29,2842,0,1,"ICMP",3,30688,31094,2,2.0,4.0,1,1
