pktcount, bytecount, dur, flows, Protocol, tot_kbps, label
85867, 102390372, 431, 1, UDP, 3501.0, 1
136988, 333300214, 997, 10, TCP, 0.0, 1
75338, 108930401, 643, 5, UDP, 3846.0, 1
108285, 328119236, 109, 2, UDP, 1739.0, 1
141390, 233530755, 203, 3, TCP, 0.0, 1
93663, 255120967, 404, 1, TCP, 0.0, 1
121147, 424610673, 415, 9, UDP, 2277.0, 1
144793, 317910117, 539, 7, UDP, 2501.0, 1
141623, 295210161, 114, 10, UDP, 3641.0, 1
52381, 393010834, 300, 6, UDP, 3788.0, 1
113027, 209300621, 852, 4, TCP, 0.0, 1
86307, 354810275, 427, 9, TCP, 0.0, 1
147315, 283550030, 793, 5, UDP, 3417.0, 1
59077, 392220850, 359, 9, UDP, 1477.0, 1
146424, 357230162, 940, 8, UDP, 1790.0, 1
95669, 273221001, 264, 3, TCP, 0.0, 1
88467, 276860228, 858, 5, UDP, 2948.0, 1
130866, 285170801, 417, 10, TCP, 0.0, 1
101183, 165620878, 451, 6, UDP, 1645.0, 1
51276, 200605011, 372, 7, UDP, 3952.0, 1
51710, 244230030, 663, 6, UDP, 2229.0, 1
97520, 268760019, 450, 9, UDP, 2220.0, 1
136505, 104720186, 309, 3, TCP, 0.0, 1
125133, 323240386, 828, 4, UDP, 1580.0, 1
117600, 210820641, 116, 2, UDP, 1325.0, 1
69326, 59450419, 561, 8, UDP, 3646.0, 1
144244, 370820572, 514, 7, UDP, 1120.0, 1
104717, 224510239, 740, 4, TCP, 0.0, 1
57380, 179460596, 452, 8, UDP, 1677.0, 1
57811, 13420059, 594, 9, UDP, 4373.0, 1
103652, 116610901, 490, 5, UDP, 2155.0, 1
88563, 425630295, 384, 1, TCP, 0.0, 1
101213, 359220771, 116, 2, UDP, 2668.0, 1
62459, 173360517, 870, 1, TCP, 0.0, 1
137438, 339370174, 314, 6, UDP, 4492.0, 1
79653, 289220713, 214, 7, UDP, 3998.0, 1
139108, 322400945, 461, 7, UDP, 2009.0, 1
146700, 354320857, 750, 2, TCP, 0.0, 1
68109, 57200246, 125, 4, UDP, 1772.0, 1
63947, 300990207, 393, 4, UDP, 2600.0, 1
149317, 79030796, 820, 2, TCP, 0.0, 1
79830, 383550124, 441, 8, TCP, 0.0, 1
69461, 106440626, 804, 7, UDP, 4521.0, 1
