pktcount, bytecount, dur, flows, Protocol, tot_kbps, label
48292, 51479272, 107, 2, UDP, 8653.0, 0
36810, 30342285, 85, 6, ICMP, 1690.0, 1
90295, 26454885, 44, 3, UDP, 8787.0, 0
27610, 78589988, 240, 8, UCP, 2218.0, 1
18293, 43337351, 201, 5, ICMP, 4259.0, 1
42095, 25832129, 162, 3, UDP, 6335.0, 0
32512, 64322006, 51, 9, ICMP, 4839.0, 0
40066, 21551871, 9, 8, UDP, 5753.0, 0
28830, 63655623, 68, 1, ICMP, 1854.0, 0
31680, 84774864, 251, 10, UDP, 3267.0, 1
55579, 28483065, 29, 7, UDP, 5348.0, 0
84709, 48442205, 72, 7, UCP, 3447.0, 0
55225, 97490827, 156, 7, ICMP, 4889.0, 1
17671, 47765113, 145, 6, UDP, 8500.0, 0
91564, 76829995, 250, 9, ICMP, 3185.0, 0
35101, 90029228, 150, 9, UDP, 9180.0, 0
42976, 53539161, 312, 10, ICMP, 2572.0, 1
85051, 26610873, 204, 6, ICMP, 1781.0, 0
87991, 62440646, 128, 2, UDP, 2478.0, 0
87959, 53297366, 116, 6, UCP, 5968.0, 1
22907, 44557836, 159, 10, ICMP, 8400.0, 0
78291, 99308922, 151, 2, ICMP, 9310.0, 1
21699, 88075923, 15, 2, UDP, 4058.0, 0
41920, 73463223, 175, 1, UCP, 2581.0, 1
97582, 97231585, 115, 3, ICMP, 8520.0, 0
10956, 62141764, 312, 1, UDP, 2584.0, 1
66863, 33426396, 217, 1, ICMP, 2338.0, 0
41721, 83780190, 12, 6, ICMP, 9836.0, 0
67703, 50134718, 21, 7, UDP, 7929.0, 0
51819, 15198733, 44, 5, UDP, 2366.0, 1
94354, 27780020, 101, 10, UCP, 6433.0, 0
48359, 76958863, 21, 4, ICMP, 6351.0, 0
40714, 51803501, 269, 2, ICMP, 3089.0, 0
78292, 27991344, 51, 5, UDP, 5156.0, 1
34700, 42564216, 56, 7, ICMP, 5387.0, 1
73161, 90818221, 89, 6, UDP, 1637.0, 0
37251, 45226080, 298, 4, UCP, 8089.0, 1
22014, 10828083, 6, 10, UCP, 5189.0, 0
98273, 57946331, 310, 5, UDP, 9136.0, 1
23343, 16138640, 84, 3, ICMP, 3146.0, 0
35645, 29543575, 299, 4, ICMP, 2643.0, 0
77377, 61318344, 33, 1, UCP, 8500.0, 1
42291, 57891786, 143, 6, ICMP, 9868.0, 0
84511, 51468668, 195, 10, ICMP, 2926.0, 1
50365, 84314185, 191, 4, UDP, 4657.0, 0
84703, 50407106, 71, 5, UDP, 5291.0, 0
70843, 93824738, 215, 1, UCP, 6920.0, 1
65610, 80172258, 56, 8, ICMP, 5727.0, 0
23214, 33952309, 241, 7, ICMP, 5957.0, 1
73904, 48492043, 220, 2, UDP, 3655.0, 0
72219, 41114506, 124, 4, ICMP, 9085.0, 0
51871, 79206306, 141, 8, UDP, 9098.0, 1
87767, 31747307, 315, 5, UDP, 8485.0, 0
87680, 14669663, 83, 5, UCP, 3827.0, 1
24347, 59789345, 188, 4, ICMP, 9277.0, 0
95002, 52508199, 4, 9, UCP, 8400.0, 0
72256, 89199745, 166, 3, UCP, 6555.0, 1
81584, 44617058, 101, 2, ICMP, 7163.0, 0
34097, 80076705, 251, 4, UDP, 6102.0, 0
59224, 16575211, 12, 9, ICMP, 9027.0, 1
47062, 55700125, 173, 7, UCP, 6164.0, 0
15317, 19337690, 299, 10, UDP, 3400.0, 0
30661, 54457607, 15, 10, ICMP, 5695.0, 0
92208, 34136940, 100, 4, ICMP, 2630.0, 1
30417, 56752533, 81, 8, ICMP, 6445.0, 0
46133, 36012481, 190, 10, UCP, 4642.0, 1
76428, 37190776, 69, 9, ICMP, 7338.0, 0
13257, 32850864, 54, 4, ICMP, 6683.0, 1
46566, 19303469, 219, 4, UCP, 3247.0, 0
77526, 77516672, 60, 2, UDP, 1408.0, 1
40222, 97707749, 52, 10, UDP, 9929.0, 0
78874, 93418220, 107, 8, UCP, 5820.0, 0
81975, 41161006, 181, 9, ICMP, 1578.0, 1
36620, 45255904, 151, 10, UDP, 5639.0, 1
35276, 37121254, 153, 1, UD, 5431.0, 0
21706, 10082317, 225, 10, ICMP, 5313.0, 0
66128, 16177445, 32, 10, ICMP, 8054.0, 1
32367, 88372692, 197, 8, UDP, 1975.0, 0
64795, 31555159, 139, 2, ICMP, 4121.0, 1
25445, 16247127, 141, 3, UDP, 5118.0, 0
50615, 92052162, 44, 7, ICMP, 4796.0, 1
90744, 57283854, 79, 5, UCP, 4548.0, 1
25347, 42737409, 305, 5, ICMP, 4884.0, 1
81872, 15904413, 20, 4, ICMP, 2180.0, 0
84440, 28837594, 24, 7, UDP, 9899.0, 0
60638, 66669242, 182, 1, UDP, 2564.0, 0
74257, 80507981, 101, 1, UCP, 8586.0, 0
10672, 55877213, 175, 2, UDP, 8658.0, 1
85673, 26479713, 8, 10, UCP, 6805.0, 0
81540, 85400561, 20, 5, UDP, 9899.0, 1
10784, 79138059, 138, 5, UCP, 8996.0, 0
20494, 70044360, 77, 8, UCP, 5241.0, 1
46715, 67169782, 9, 8, UDP, 3889.0, 0
18925, 87308447, 136, 4, ICMP, 4216.0, 0
75040, 27821995, 177, 1, UDP, 4393.0, 1
60876, 97200554, 187, 8, ICMP, 3571.0, 1
23600, 41380900, 270, 3, UCP, 4448.0, 0
37309, 51520449, 242, 3, UDP, 1843.0, 1
25020, 50958689, 118, 2, UDP, 2574.0, 0
43372, 90859115, 252, 3, ICMP, 3198.0, 1
68212, 22297297, 250, 8, UDP, 8976.0, 1
60280, 65750907, 121, 6, UDP, 6484.0, 0
72001, 14141182, 107, 8, ICCMP, 2218.0, 1
47556, 82298115, 302, 4, ICMP, 3209.0, 0
36870, 80586207, 186, 1, ICMP, 2662.0, 1
78674, 14870515, 272, 9, UDP, 6907.0, 0
94026, 46519146, 11, 5, ICMP, 8714.0, 0
383, 75819, 687, 9, UDP, 848.0, 1 
3324, 1609188, 858, 6, UDP, 9165.0, 0 
5864, 13024804, 428, 6, ICMP, 0.0, 0 
5368, 14038366, 623, 7, ICMP, 0.0, 0 
7319, 11080647, 406, 9, ICMP, 0.0, 0 
726, 631171, 883, 4, UDP, 5646.0, 0 
7145, 10303510, 962, 7, ICMP, 0.0, 0 
3907, 6125344, 309, 4, ICMP, 0.0, 0 
7391, 12662298, 674, 3, ICMP, 0.0, 0 
7264, 9112740, 415, 7, UDP, 9836.0, 1 
2589, 15529634, 595, 5, ICMP, 0.0, 0 
8123, 11694814, 633, 2, ICMP, 0.0, 0 
2752, 12118791, 326, 5, UDP, 9380.0, 1 
10791, 14540644, 536, 4, ICMP, 0.0, 0 
3599, 11806877, 814, 3, ICMP, 0.0, 0 
4962, 5064583, 209, 8, ICMP, 0.0, 0 
4818, 9223245, 916, 4, ICMP, 0.0, 0 
2526, 3822207, 716, 9, UDP, 6412.0, 0 
5016, 14778812, 780, 4, ICMP, 0.0, 0 
7173, 13768302, 604, 4, UDP, 8409.0, 0 
