pktcount, bytecount, dur, flows, Protocol, tot_kbps, label
37122, 52709951, 378, 0, ICMP, 114.0, 0
47625, 920759076, 227, 1, ICMP, 3920.0, 1
37134, 825179074, 140, 2, TCP, 162.0, 0
301, 54269427, 33, 3, UDP, 4562.0, 1
19266, 195334194, 471, 0, ICMP, 1609.0, 0
2427, 50761063, 191, 5, UDP, 3666.0, 1
106325, 112398630, 455, 0, UDP, 5277.0, 1
81897, 829923835, 172, 2, ICMP, 4270.0, 0
68034, 32294146, 233, 1, TCP, 2032.0, 1

14113, 608369792, 422, 4, ICMP, 4737.0, 0
2439, 346039287, 166, 3, ICMP, 3689.0, 1
88841, 946303688, 382, 0, TCP, 2795.0, 0
18445, 283386964, 397, 0, UDP, 5178.0, 1
22813, 63716021, 316, 5, UDP, 5594.0, 1
67994, 246168584, 142, 4, TCP, 2804.0, 0
72152, 624687776, 271, 0, UDP, 4587.0, 1
31751, 887661790, 197, 3, ICMP, 1070.0, 0
90168, 703742980, 114, 4, TCP, 586.0, 1
78408, 802341995, 180, 1, ICMP, 3654.0, 0
98273, 6486294, 308, 3, TCP, 2809.0, 1 
131103, 135568094, 980, 13, ICMP, 2556.0, 1 
193605, 71793412, 884, 12, TCP, 2034.0, 0 
595471, 185458825, 264, 8, ICMP, 1586.0, 0 
243614, 184993909, 802, 10, TCP, 2508.0, 1 
669714, 283349635, 899, 11, ICMP, 1968.0, 0 
991181, 325471405, 507, 5, TCP, 2594.0, 1 
243613, 489232526, 618, 6, ICMP, 1620.0, 1 
676888, 658201919, 861, 12, TCP, 2080.0, 0 
956767, 786925212, 339, 3, ICMP, 2831.0, 0 
693263, 834410070, 658, 7, TCP, 2768.0, 1 
290718, 922852728, 593, 6, ICMP, 2072.0, 1 
697287, 967282574, 874, 11, TCP, 2873.0, 0 
271756, 987018433, 496, 4, ICMP, 1786.0, 0 
898451, 993160224, 799, 9, TCP, 2334.0, 1 
310461, 919334491, 987, 13, ICMP, 2861.0, 0 
561865, 698820572, 945, 12, TCP, 1809.0, 1 
894680, 559618083, 663,7, ICMP, 1787.0, 1
504784, 362121130, 392, 4, TCP, 2090.0, 0 
686590, 945066032, 764, 9, ICMP, 2435.0, 0 
108631, 379811758, 842, 11, TCP, 1809.0, 1 
180916, 1564929, 859, 11, ICMP, 1637.0, 1 
772865, 14612861, 343, 3, TCP, 1659.0, 0 
747387, 59303357, 264, 8, ICMP, 2539.0, 0 
595933, 72550211, 646, 7, TCP, 1981.0, 1 
851673, 418563090, 942, 12, ICMP, 2760.0, 0 
632726, 608681325, 876, 11, TCP, 2495.0, 1 
607294, 998809398, 837, 10, ICMP, 1634.0, 1 
721102, 671385130, 866, 11, TCP, 2927.0, 0 
724011, 165077233, 793, 10, ICMP, 2179.0, 0 
392741, 243284811, 643, 7, TCP, 2624.0, 1 
342245, 920072474, 545, 5, ICMP, 1798.0, 0 
692708, 20459774, 695, 8, TCP, 1818.0, 0 
542518, 977674166, 470, 5, ICMP, 2810.0, 0 
129901, 393095510, 812, 11, TCP, 2821.0, 1 
973971, 365007514, 674, 8, ICMP, 2206.0, 1 
328794, 252507231, 467, 5, TCP, 1619.0, 0 
997890, 594497430, 396, 4, ICMP, 2826.0, 0 
484112, 241211967, 639, 7, TCP, 2563.0, 0 
236277, 37027933, 905, 12, ICMP, 1511.0, 0 
635756, 416265104, 457, 5, TCP, 1788.0, 1 
692337, 85366821, 537, 5, ICMP, 2428.0, 1 
629101, 897400966, 841, 11, TCP, 2338.0, 0 
681111, 312132781, 514, 5, ICMP, 2830.0, 0 
689273, 773596877, 780, 9, TCP, 2741.0, 1 
635813, 813608817, 633, 6, ICMP, 2463.0, 1 
480346, 77161747, 480, 4, TCP, 1711.0, 0 
865916, 105863007, 917, 12, ICMP, 2724.0, 0 
956710, 513253653, 952, 13, TCP, 2389.0, 1 
472263, 273489158, 795, 10, ICMP, 2069.0, 0 
914545, 679117595, 877, 11, TCP, 2179.0, 1 
311198, 800543003, 884, 11, ICMP, 1610.0, 1 
495156, 953103635, 963, 13, TCP, 1607.0, 0 
760401, 710713924, 717, 8, ICMP, 2248.0, 1 
709347, 248422088, 444, 4, TCP, 2684.0, 0 
388362, 170201640, 651, 7, ICMP, 2134.0, 0 
255124, 836495890, 847, 11, TCP, 2437.0, 1 
863883, 189548241, 489, 4, ICMP, 2793.0, 0 
975190, 60363578, 499, 5, TCP, 1917.0, 0 
778945, 812456615, 347, 3, ICMP, 1516.0, 1 
