pktcount,bytecount,dur,flows,Protocol,tot_kbps,label
35109,835,82958,844,7,ICMP,1.0,0
97791,3222,30948,356,7,TCP,0.0,0
81161,56429,60237830,127,11,TCP,0.0,0
203911,715,65772,732,5,ICMP,3.0,0
97782,823,74436,840,5,ICMP,1.0,0
71562,4191,4369476,135,4,UDP,0.0,1
87699,190617,10261844,324,5,TCP,112.0,1
73574,35184,36924320,101,5,ICMP,5732.0,1
85351,45029,46963482,143,5,UDP,0.0,1
91763,125811,6791406,430,5,TCP,0.0,1
17802,977,92764,924,7,ICMP,2.0,0
86730,42605,23001888,135,7,TCP,0.0,0
84493,58002,63596090,130,11,TCP,0.0,0
81377,353,35128,360,5,ICMP,2.0,0
17077,695,68144,712,5,ICMP,2.0,0
95512,45111,47009960,143,4,UDP,0.0,1
34315,190117,10261716,324,5,TCP,110.0,1
91215,35686,37137050,101,5,ICMP,5734.0,1
85312,45090,46970182,143,5,UDP,0.0,1
87941,125887,6792528,430,5,TCP,0.0,1
18062,978,92896,925,7,ICMP,2.0,0
74357,42666,23020608,135,7,TCP,0.0,0
49077,58063,63609010,130,11,TCP,0.0,0
98509,354,35260,361,5,ICMP,2.0,0
84554,696,68276,713,5,ICMP,2.0,0
35273,45172,47026360,143,4,UDP,0.0,1
100457,190216,10262588,324,5,TCP,112.0,1
19232,35747,37152850,101,5,ICMP,5732.0,1
85973,45151,47038882,143,5,UDP,0.0,1
83583,125962,6793650,430,5,TCP,0.0,1
92473,979,93028,926,7,ICMP,2.0,0
74418,42727,23037928,135,7,TCP,0.0,0
73989,58124,63622330,130,11,TCP,0.0,0
18193,355,35392,360,5,ICMP,2.0,0
96533,697,68408,714,5,ICMP,2.0,0
74014,45233,47042760,143,4,UDP,0.0,1
94621,190315,10263460,324,5,TCP,110.0,1
89045,35808,37168650,101,5,ICMP,5734.0,1
81614,45212,47055382,143,5,UDP,0.0,1
84720,126037,6794772,430,5,TCP,0.0,1
93631,980,93160,927,7,ICMP,2.0,0
78885,42788,23055248,135,7,TCP,0.0,0
82861,58185,63640050,130,11,TCP,0.0,0
97637,356,35524,361,5,ICMP,2.0,0
37045,698,68540,715,5,ICMP,2.0,0
91276,45294,47059160,143,4,UDP,0.0,1
81880,190414,10264332,324,5,TCP,112.0,1
87817,35869,37184450,101,5,ICMP,5732.0,1
96799,45273,47071782,143,5,UDP,0.0,1
77109,126113,6795994,430,5,TCP,0.0,1
