pktcount,bytecount,dur,flows,Protocol,tot_kbps,label
71602,1112,81362,918,7,ICMP,2.0,0
78823,77894,25305440,157,7,TCP,0.0,0
61933,52722,62277370,127,11,TCP,0.0,0
92908,323,33408,341,5,ICMP,2.0,0
91425,599,57458,617,5,ICMP,2.0,0
45509,43063,45483520,140,4,UDP,0.0,1
96494,180890,10263438,321,5,TCP,110.0,1
81814,35558,37081650,98,5,ICMP,5734.0,1
81946,43015,45481910,140,5,UDP,0.0,1
102030,125038,6786344,427,5,TCP,0.0,1
71780,749,71536,766,7,ICMP,2.0,0
99051,81815,25302080,154,7,TCP,0.0,0
62434,58206,62327190,124,11,TCP,0.0,0
93513,299,32056,317,5,ICMP,2.0,0
90552,543,52618,561,5,ICMP,2.0,0
45995,41236,45509780,137,4,UDP,0.0,1
97009,179212,10266718,318,5,TCP,110.0,1
82399,33880,37097470,95,5,ICMP,5734.0,1
82441,41148,45508250,137,5,UDP,0.0,1
102615,124360,6782704,424,5,TCP,0.0,1
72366,625,61932,643,7,ICMP,2.0,0
99637,79137,25308720,151,7,TCP,0.0,0
63019,55549,62288550,121,11,TCP,0.0,0
94099,275,30714,293,5,ICMP,2.0,0
91138,487,47776,505,5,ICMP,2.0,0
46481,39459,45526140,134,4,UDP,0.0,1
97595,177534,10270098,315,5,TCP,110.0,1
82985,32213,37113300,92,5,ICMP,5734.0,1
83027,38881,45524620,134,5,UDP,0.0,1
103201,123682,6779062,421,5,TCP,0.0,1
72952,501,49590,519,7,ICMP,2.0,0
100223,75370,25315400,148,7,TCP,0.0,0
63600,52892,62302830,118,11,TCP,0.0,0
94685,251,29272,269,5,ICMP,2.0,0
91724,431,41534,449,5,ICMP,2.0,0
46967,37282,45549500,131,4,UDP,0.0,1
98081,175856,10273478,312,5,TCP,110.0,1
83571,30556,37129140,89,5,ICMP,5734.0,1
83609,36204,45547980,131,5,UDP,0.0,1
103787,123024,6775424,418,5,TCP,0.0,1
73538,377,37346,395,7,ICMP,2.0,0
100809,71703,25322140,145,7,TCP,0.0,0
64186,50225,62317110,115,11,TCP,0.0,0
95271,227,26930,245,5,ICMP,2.0,0
92310,365,35392,383,5,ICMP,2.0,0
47453,35105,45572260,128,4,UDP,0.0,1
98567,174178,10276858,309,5,TCP,110.0,1
84157,28899,37145080,86,5,ICMP,5734.0,1
84195,33417,45571140,128,5,UDP,0.0,1
104373,122366,6771786,415,5,TCP,0.0,1
74124,253,24902,271,7,ICMP,2.0,0
101395,68036,25328880,142,7,TCP,0.0,0
64771,47558,62330780,112,11,TCP,0.0,0
95857,203,25488,221,5,ICMP,2.0,0
92896,299,28450,317,5,ICMP,2.0,0
47939,32828,45595620,125,4,UDP,0.0,1
99053,172500,10280198,306,5,TCP,110.0,1
84743,26642,37158820,83,5,ICMP,5734.0,1
84781,31050,45594500,125,5,UDP,0.0,1
104959,121708,6768148,412,5,TCP,0.0,1
74710,129,12374,147,7,ICMP,2.0,0
101981,64369,25335520,139,7,TCP,0.0,0
65357,44991,62344550,109,11,TCP,0.0,0
96443,179,17202,197,5,ICMP,2.0,0
93482,233,22308,251,5,ICMP,2.0,0
48425,30651,45618000,122,4,UDP,0.0,1
99549,170822,10283578,303,5,TCP,110.0,1
85331,24385,37172560,80,5,ICMP,5734.0,1
85369,28663,45616880,122,5,UDP,0.0,1
105545,121050,6764502,409,5,TCP,0.0,1
75296,105,10206,123,7,ICMP,2.0,0
102567,60702,25342200,136,7,TCP,0.0,0
65943,42424,62358320,106,11,TCP,0.0,0
97029,155,14334,173,5,ICMP,2.0,0
94068,209,20022,227,5,ICMP,2.0,0
49011,28474,45639360,119,4,UDP,0.0,1
100035,169144,10286958,300,5,TCP,110.0,1
85917,22128,37186300,77,5,ICMP,5734.0,1
85955,26406,45638240,119,5,UDP,0.0,1
