dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
30222,6,624,61152,640,14000000,640000000000.0,4,2053,29,2842,0,1,ICMP,3,169211,271088959,0,0.0,0.0,0
31753,6,77351,4486358,259,527000000,260000000000.0,5,18351,7832,454256,261,1,TCP,4,29044159,452292829,241,225.0,466.0,0
6582,5,567,55566,581,591000000,582000000000.0,7,3421,29,2842,0,0,ICMP,4,135497407,406606499,1,1.0,2.0,0
31453,4,23163,1528922,70,476000000,70476000000.0,9,10692,9769,644918,325,1,TCP,2,6046,1382,0,0.0,0.0,0
4277,2,121122,132880068,271,154000000,271000000000.0,4,1143,13495,14746838,449,1,TCP,3,135922661,5871637,4072,176.0,4248.0,0
27918,4,124462,129689404,443,555000000,444000000000.0,13,2790,8738,9104996,291,1,ICMP,2,271242485,241575241,2,2419.0,2421.0,1
24690,4,40784,42496928,148,84000000,148000000000.0,5,2997,7959,8293278,265,1,ICMP,1,5247,1402,0,0.0,0.0,1
11965,3,9318,9932988,20,672000000,20672000000.0,3,2242,0,0,0,0,UDP,2,3949,1562,0,0.0,0.0,1
42125,5,60143,3247722,111,226000000,111000000000.0,7,13231,16756,904824,558,1,TCP,3,402858990,32938730,8078,456.0,8534.0,1
4427,3,97582,5659756,319,998000000,320000000000.0,5,1143,8837,512546,294,1,TCP,3,6491719,152399011,0,126.0,126.0,1
25110,2,2054,158916,232,82000000,232
