pktcount,bytecount,dur,flows,tot_kbps,label
1925,1171058,120,4,0,0
26006,147128002,1881,17,20580,1
13755,7241923,373,6,79,0
18974,10354777,242,4,12,1
5681,3226307,204,3,2,0
15861,8736420,265,5,0,1
9072,5090125,212,4,1,0
39093,21271534,406,7,35,0
24002,13259945,356,5,13,1
12962,7355958,347,6,2,0
27072,15489419,399,6,45,1
4500,2545387,162,3,1,0
18956,10478375,285,5,3,1
16091,8909937,244,4,7,0
20384,11395045,263,4,3,1
19157,10641855,182,4,3,0
6205,3618578,225,4,4,1
14126,7772000,310,5,1,0
24563,13706050,326,5,13,0
15000,8444090,279,5,3,1
18387,10230076,323,5,2,0
7128,4073591,210,4,0,1
11302,6371780,257,4,2,0
20809,11673043,338,6,4,0
29089,16454850,360,6,9,1
