pktcount,bytecount,dur,flows,Protocol,tot_kbps,label
30000,822,89859,937,7,ICMP,2.0,0
98530,89898,81912,622,5,TCP,0.0,0
25981,2059,205917,121,4,UDP,0.0,1
19307,567,56793,532,7,ICMP,2.0,0
76671,9898,989821,890,5,TCP,0.0,0
38287,4498,449817,123,4,UDP,0.0,1
81230,19001,1900119,324,5,TCP,110.0,1
46372,35623,37121230,101,5,ICMP,5734.0,1
29074,4497,449717,143,5,UDP,0.0,1
81239,12574,6790281,430,5,TCP,0.0,1
90789,898,89859,937,7,ICMP,2.0,0
39087,8989,898981,622,5,TCP,0.0,0
37091,2059,205917,121,4,UDP,0.0,1
89070,567,56793,532,7,ICMP,2.0,0
29079,9898,989821,890,5,TCP,0.0,0
90876,4498,449817,123,4,UDP,0.0,1
81230,19001,1900119,324,5,TCP,110.0,1
90872,35623,37121230,101,5,ICMP,5734.0,1
99074,4497,449717,143,5,UDP,0.0,1
91239,12574,6790281,430,5,TCP,0.0,1
90287,822,89859,937,7,ICMP,2.0,0
39087,89898,81912,622,5,TCP,0.0,0
39091,2059,205917,121,4,UDP,0.0,1
89070,567,56793,532,7,ICMP,2.0,0
90769,9898,989821,890,5,TCP,0.0,0
90876,4498,449817,123,4,UDP,0.0,1
81230,19001,1900119,324,5,TCP,110.0,1
90872,35623,37121230,101,5,ICMP,5734.0,1
90774,4497,449717,143,5,UDP,0.0,1
91239,12574,6790281,430,5,TCP,0.0,1
