dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2588,1,1450,130158,8,33000000,8000000000.0,4,8,8,130158,63,0,UDP,3,3918,1439,0,0.0,0.0,0
4135,3,2195,144595,11,567000000,1167000000000.0,2,10,10,144595,60,1,TCP,2,6459,1439,0,0.0,0.0,1
19073,4,534,112621,17,845000000,1785000000000.0,7,11,11,112621,60,0,UDP,4,1439,1439,0,0.0,0.0,1
12491,10,260006,147128002,1881,999000000,1880000000000.0,17,25224,19190,14953872,639,1,TCP,3,1269981973,990596183,9473,9473.0,9572.0,0
4435,5,908,88984,933,280000000,933000000000.0,13,4920,29,2842,0,1,ICMP,1,183818836,47985976,4646,4646.0,9292.0,1
3089,2,79799,83150558,285,907000000,286000000000.0,6,4440,8683,9047686,289,0,UDP,4,4253,215596881,0,6110.0,6110.0,0
9287,7,47366,53268188,109,33000000,109000000000.0,5,1181,13269,14713066,442,1,TCP,3,7765084,176078946,167,3922.0,4089.0,1
17288,2,98268,102395256,345,913000000,346000000000.0,4,4440,9168,9553056,305,0,UDP,3,4337,245258119,0,2529.0,2529.0,0
34862,3,24374,25397708,79,566000000,79566000000.0,8,2053,9288,9678096,309,1,ICMP,2,191027546,80700684,2571,5146.0,7717.0,1
14365,1,28562,29761604,90,867000000,90867000000.0,5,1790,9446,9842732,314,0,UDP,3,139618793,3875,3838,0.0,3838.0,0
1769,8,18266,986364,30,967000000,30967000000.0,7,1143,17984,971136,599,1,TCP,5,2840632,64318612,171,3915.0,4086.0,0
42935,10,4000,399980,19,889000000,19889000000.0,5,25224,0,0,0,1,TCP,2,428829,220346,112,58.0,170.0,1
