pktcount,bytecount,dur,flows,Protocol,tot_kbps,label
9000,84717,921,5,ICMP,0.0,0
33768,3099184,1881,17,ICMP,20580.0,1
38990,14271776,127,3,TCP,0.0,0
19098,719238,251,5,UDP,4.0,0
260006,147128002,412,7,ICMP,3838.0,1
79576,6471930,321,4,TCP,2007.0,0
912,86044,950,15,UDP,3144.0,1
1404238,24211,80,9,TCP,0.0,1
5813586,88081,270,4,ICMP,4098.0,0
120301298,112853,250,2,UDP,0.0,0
18579,104818,174,9,ICMP,2582.0,1
94796,76203544,0.0,2.0,TCP,4228.0,1
30674,313,1881,17,UDP,10136.0,1
128468180,123290,440,2,ICMP,0.0,1
83986,857,950,15,TCP,0.0,0
15103790,14495,50,14,UDP,0.0,0
5811534,107621,321,4,ICMP,0.0,0
0.0,0.0,270,4,UDP,4098.0,1
84717,9000,174,9,ICMP,4228.0,0
3099184,33768,127,3,TCP,2007.0,1
719238,19098,1881,17,UDP,10136.0,0
104818,18579,250,2,TCP,0.0,1
147128002,260006,412,7,UDP,3838.0,0
120301298,112853,80,9,ICMP,2582.0,1
6471930,79576,950,15,TCP,3144.0,0
135562312,131044,440,2,UDP,0.0,1
86044,878,50,14,ICMP,0.0,0
128468180,123290,270,4,TCP,4098.0,1
76203544,94796,174,9,ICMP,4228.0,1
3099184,33768,0.0,2.0,UDP,0.0,0
15103790,14495,321,4,TCP,2007.0,1
5811534,107621,127,3,ICMP,0.0,0
147128002,260006,250,2,UDP,3144.0,1
719238,19098,412,7,TCP,3838.0,0
30674,313,80,9,ICMP,2582.0,1
83986,857,1881,17,UDP,10136.0,0
5813586,88081,440,2,TCP,0.0,1
104818,18579,950,15,ICMP,0.0,1
128468180,123290,50,14,UDP,0.0,0
6471930,79576,270,4,TCP,4098.0,1
84717,9000,321,4,ICMP,2007.0,0
76203544,94796,127,3,UDP,3144.0,1
30674,313,250,2,TCP,0.0,1
15103790,14495,412,7,ICMP,3838.0,0
5811534,107621,80,9,UDP,2582.0,1
147128002,260006,1881,17,TCP,10136.0,0
83986,857,440,2,ICMP,0.0,1
5813586,88081,950,15,UDP,0.0,0
120301298,112853,50,14,TCP,0.0,1
19098,719238,270,4,ICMP,4098.0,0
94796,76203544,174,9,UDP,4228.0,1
33768,3099184,0.0,2.0,TCP,0.0,0
107621,5811534,321,4,ICMP,2007.0,1
131044,135562312,127,3,UDP,3144.0,0
18579,104818,250,2,ICMP,0.0,1
14495,15103790,412,7,UDP,3838.0,0
878,86044,80,9,TCP,2582.0,1
123290,128468180,1881,17,ICMP,10136.0,0
112853,120301298,440,2,TCP,0.0,1
9000,84717,950,15,ICMP,0.0,1
260006,147128002,50,14,UDP,0.0,0
79576,6471930,270,4,TCP,4098.0,1
313,30674,174,9,ICMP,4228.0,0
88081,5813586,0.0,2.0,UDP,0.0,1
1404238,24211,321,4,TCP,2007.0,0
857,83986,127,3,ICMP,0.0,1
104818,18579,1881,17,UDP,10136.0,0
120301298,112853,250,2,TCP,3144.0,1
6471930,79576,80,9,ICMP,2582.0,0
