pktcount,bytecount,dur,flows,Protocol,tot_kbps,label
81287,76982,3718072,209,2,UDP,0.0,0
44462,955,90710,948,7,ICMP,2.0,0
94874,1937,189534,1946,5,ICMP,2.0,0
58425,1314,142310,1321,7,ICMP,2.0,0
34006,1554,162458,1561,7,ICMP,2.0,0
84917,918,90842,927,5,ICMP,2.0,0
25608,547,55406,554,7,ICMP,2.0,0
71724,737,74418,744,7,ICMP,2.0,0
83732,1750,170866,1757,7,ICMP,2.0,0
76445,3176,311822,3183,7,ICMP,2.0,0
37892,1962,203774,1969,7,ICMP,2.0,0
97747,1311,142055,1318,7,ICMP,2.0,0
73717,1813,186829,1820,7,ICMP,2.0,0
89814,1003,102317,1010,7,ICMP,2.0,0
12402,1258,132382,1265,7,ICMP,2.0,0
94164,1709,166781,1716,7,ICMP,2.0,0
83620,1811,186619,1818,7,ICMP,2.0,0
87941,1490,154510,1497,7,ICMP,2.0,0
71745,918,90842,927,7,ICMP,2.0,0
91931,1556,162738,1563,7,ICMP,2.0,0
97621,1818,187083,1825,7,ICMP,2.0,0
74491,1811,186619,1818,7,ICMP,2.0,0
41719,1558,163022,1565,7,ICMP,2.0,0
82617,1814,186953,1821,7,ICMP,2.0,0
71705,918,90842,927,7,ICMP,2.0,0
81287,76982,3718072,209,2,UDP,0.0,1
44462,955,90710,948,7,ICMP,2.0,1
94874,1937,189534,1946,5,ICMP,2.0,1
58425,1314,142310,1321,7,ICMP,2.0,1
34006,1554,162458,1561,7,ICMP,2.0,1
84917,918,90842,927,5,ICMP,2.0,1
25608,547,55406,554,7,ICMP,2.0,1
71724,737,74418,744,7,ICMP,2.0,1
83732,1750,170866,1757,7,ICMP,2.0,1
76445,3176,311822,3183,7,ICMP,2.0,1
37892,1962,203774,1969,7,ICMP,2.0,1
97747,1311,142055,1318,7,ICMP,2.0,1
73717,1813,186829,1820,7,ICMP,2.0,1
89814,1003,102317,1010,7,ICMP,2.0,1
12402,1258,132382,1265,7,ICMP,2.0,1
94164,1709,166781,1716,7,ICMP,2.0,1
83620,1811,186619,1818,7,ICMP,2.0,1
87941,1490,154510,1497,7,ICMP,2.0,1
71745,918,90842,927,7,ICMP,2.0,1
91931,1556,162738,1563,7,ICMP,2.0,1
97621,1818,187083,1825,7,ICMP,2.0,1
74491,1811,186619,1818,7,ICMP,2.0,1
41719,1558,163022,1565,7,ICMP,2.0,1
82617,1814,186953,1821,7,ICMP,2.0,1
71705,918,90842,927,7,ICMP,2.0,1
85893,76982,3718072,209,2,UDP,0.0,0
13559,955,90710,948,7,ICMP,2.0,0
94445,1937,189534,1946,5,ICMP,2.0,0
83778,1314,142310,1321,7,ICMP,2.0,0
38556,1554,162458,1561,7,ICMP,2.0,0
81750,918,90842,927,5,ICMP,2.0,0
25962,547,55406,554,7,ICMP,2.0,0
71937,737,74418,744,7,ICMP,2.0,0
82708,1750,170866,1757,7,ICMP,2.0,0
71567,3176,311822,3183,7,ICMP,2.0,0
36672,1962,203774,1969,7,ICMP,2.0,0
96650,1311,142055,1318,7,ICMP,2.0,0
71766,1813,186829,1820,7,ICMP,2.0,0
88559,1003,102317,1010,7,ICMP,2.0,0
12299,1258,132382,1265,7,ICMP,2.0,0
94437,1709,166781,1716,7,ICMP,2.0,0
84664,1811,186619,1818,7,ICMP,2.0,0
86845,1490,154510,1497,7,ICMP,2.0,0
71163,918,90842,927,7,ICMP,2.0,0
91317,1556,162738,1563,7,ICMP,2.0,0
97012,1818,187083,1825,7,ICMP,2.0,0
75470,1811,186619,1818,7,ICMP,2.0,0
41788,1558,163022,1565,7,ICMP,2.0,0
83918,1814,186953,1821,7,ICMP,2.0,0
73783,918,90842,927,7,ICMP,2.0,0
