dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,1,0,0,0,0,0,0,2,4,-130933,-146442594,-4365,0,TCP,1,2527,856,0,0,0
7128,3,801,79282,128,233000000,128000000000,3,1943,29,2842,0,0,TCP,1,4799,3539,0,0,0,0
11965,4,42557,6409692,252,418000000,252000000000,5,3024,8304,544736,276,1,TCP,2,4552643,14011344,0,0,4,1
29982,5,94683,75972220,413,704000000,413000000000,7,7385,10004,9727070,333,1,UDP,3,135650931,143928631,255,557,3838,1
42935,10,260006,147128002,1881,999000000,1880000000000,17,25224,19190,14953872,639,1,ICMP,5,1269981973,990596183,20580,16577,20580,0
41254,2,59297,3439226,201,612000000,202000000000,9,8050,9116,528728,303,1,TCP,1,429434561,24001090,7927,611,8538,0
5297,5,260002,14040108,469,135000000,469000000000,5,2373,10646,574884,354,1,TCP,4,322219485,181435711,81,142,223,1
26807,7,167,16366,171,185000000,171000000000,4,948,30,2940,1,1,UDP,1,4352,1332,0,0,0,0
33303,3,222,21756,228,340000000,228000000000,13,3024,29,2842,0,1,ICMP,3,161339396,144415232,2718,2578,5296,1
26867,1,9517,9842138,81,124000000,81124000000,4,948,9230,9589340,307,1,UDP,2,38013512,1410,2554,0,2554,0
2829,5,98542,102680764,347,334000000,347000000000,2,4440,9168,9553056,305,0,ICMP,1,3943,1492,0,0,0,1
3489,7,87263,90928046,287,522000000,288000000000,2,7916,8223,8568366,274,0,UDP,1,5375,278546882,0,0,0,0
9786,6,972,1012824,3,452000000,3452000000,3,1109,0,0,0,0,ICMP,2,3273,1352,0,0,0,1
11455,4,56607,58984494,180,857000000,181000000000,6,1943,9292,9682264,309,0,TCP,2,3845,1402,0,0,0,1
20356,3,6837,7171332,124,818000000,124000000000,5,4265,1337,143710,0,1,UDP,4,3726,1390,0,0,0,0
36775,2,11458,11791250,79,922000000,79000000000,2,4440,2518,253790,1,1,TCP,5,3075,1364,0,0,0,1
18982,10,75643,77373550,403,904000000,403000000000,5,13008,15126,1573444,357,0,ICMP,3,1438,1390,0,0,0,1
25386,9,1348,143022,7,1220000000,7000000000,4,948,143,1460,0,1,UDP,1,4352,1332,0,0,0,0
30477,4,30311,31470130,240,898000000,240000000000,4,948,3163,324544,2,1,TCP,4,3726,1390,0,0,0,1
38297,1,10,10500
