pktcount,bytecount,dur,flows,tot_kbps,label
34900,31990920,487,7,6642,1
14072,9454743,183,3,2,1
11554,8374080,157,4,1,1
260006,147128002,1881,17,20580,1
0,0,0,2,0,0
3345,209943,83,3,0,0
45893,32593975,444,8,3284,0
16186,11103580,214,4,6,0
71662,56505854,722,9,3838,0
52860,38186596,321,5,2007,1
94796,76203544,412,7,3838,1
1212,76617,37,3,0,0
34,2146,11,3,0,0
808,79576,127,3,0,0
42828,6471930,251,5,4,1
26,1443,11,3,0,0
5486,413908,119,3,0,0
12072,9157195,180,3,2,1
7,405,9,3,0,0
818,58605,118,3,0,0
26000,19078010,426,6,2034,1
3331,229924,83,3,0,0
13358,9577386,203,4,1,1
14,811,11,3,0,0
11,722,11,3,0,0
636,44202,104,3,0,0
29,1897,11,3,0,0
24,1576,11,3,0,0
12,814,11,3,0,0
27,1791,11,3,0,0
11,723,11,3,0,0
7,450,9,3,0,0
8,528,11,3,0,0
21,1387,11,3,0,0
14,921,11,3,0,0
9,595,11,3,0,0
20,1344,11,3,0,0
13,857,11,3,0,0
23,1530,11,3,0,0
18,1188,11,3,0,0
18,1192,11,3,0,0
19,1239,11,3,0,0
15,1008,11,3,0,0
17,1135,11,3,0,0
16,1055,11,3,0,0
22,1473,11,3,0,0
12,813,11,3,0,0
25,1668,11,3,0,0
13,859,11,3,0,0
19,1245,11,3,0,0
14,927,11,3,0,0
10,660,11,3,0,0
24,1575,11,3,0,0
11,719,11,3,0,0
7,448,9,3,0,0
8,527,11,3,0,0
21,1386,11,3,0,0
14,919,11,3,0,0
9,594,11,3,0,0
20,1343,11,3,0,0
13,856,11,3,0,0
23,1529,11,3,0,0
18,1187,11,3,0,0
18,1191,11,3,0,0
19,1238,11,3,0,0
15,1007,11,3,0,0
17,1134,11,3,0,0
16,1054,11,3,0,0
22,1472,11,3,0,0
12,812,11,3,0,0
25,1667,11,3,0,0
13,858,11,3,0,0
19,1244,11,3,0,0
14,926,11,3,0,0
10,659,11,3,0,0
24,1574,11,3,0,0
11,718,11,3,0,0
7,447,9,3,0,0
8,526,11,3,0,0
21,1385,11,3,0,0
14,918,11,3,0,0
9,593,11,3,0,0
20,1342,11,3,0,0
13,855,11,3,0,0
23,1528,11,3,0,0
18,1186,11,3,0,0
18,1190,11,3,0,0
19,1237,11,3,0,0
15,1006,11,3,0,0
17,1133,11,3,0,0
16,1053,11,3,0,0
22,1471,11,3,0,0
12,811,11,3,0,0
25,1666,11,3,0,0
13,857,11,3,0,0
19,1243,11,3,0,0
14,925,11,3,0,0
10,658,11,3,0,0
24,1573,11,3,0,0
11,717,11,3,0,0
7,446,9,3,0,0
8,525,11,3,0,0
21,1384,11,3,0,0
14,917,11,3,0,0
9,592,11,3,0,0
20,1341,11,3,0,0
13,854,11,3,0,0
23,1527,11,3,0,0
18,1185,11,3,0,0
18,1189,11,3,0,0
19,1236,11,3,0,0
15,1005,11,3,0,0
17,1132,11,3,0,0
16,1052,11,3,0,0
22,1470,11,3,0,0
12,810,11,3,0,0
25,1665,11,3,0,0
13,856,11,3,0,0
19,1242,11,3,0,0
14,924,11,3,0,0
10,657,11,3,0,0
24,1572,11,3,0,0
11,716,11,3,0,0
7,445,9,3,0,0
8,524,11,3,0,0
21,1383,11,3,0,0
14,916,11,3,0,0
9,591,11,3,0,0
20,1340,11,3,0,0
13,853,11,3,0,0
23,1526,11,3,0,0
18,1184,11,3,0,0
18,1188,11,3,0,0
19,1235,11,3,0,0
15,1004,11,3,0,0
17,1131,11,3,0,0
16,1051,11,3,0,0
22,1469,11,3,0,0
12,809,11,3,0,0
25,1664,11,3,0,0
13,855,11,3,0,0
19,1241,11,3,0,0
14,923,11,3,0,0
10,656,11,3,0,0
24,1571,11,3,0,0
11,715,11,3,0,0
7,444,9,3,0,0
8,523,11,3,0,0
21,1382,11,3,0,0
14,915,11,3,0,0
9,590,11,3,0,0
20,1339,11,3,0,0
13,852,11,3,0,0
23,1525,11,3,0,0
18,1183,11,3,0,0
18,1187,11,3,0,0
19,1234,11,3,0,0
15,1003,11,3,0,0
17,1130,11,3,0,0
16,1050,11,3,0,0
22,1468,11,3,0,0
12,808,11,3,0,0
25,1663,11,3,0,0
13,854,11,3,0,0
19,1240,11,3,0,0
14,922,11,3,0,0
10,655,11,3,0,0
24,1570,11,3,0,0
11,714,11,3,0,0
7,443,9,3,0,0
8,522,11,3,0,0
21,1381,11,3,0,0
14,914,11,3,0,0
9,589,11,3,0,0
20,1338,11,3,0,0
13,851,11,3,0,0
23,1524,11,3,0,0
18,1182,11,3,0,0
18,1186,11,3,0,0
19,1233,11,3,0,0
15,1002,11,3,0,0
17,1129,11,3,0,0
16,1049,11,3,0,0
22,1467,11,3,0,0
12,807,11,3,0,0
25,1662,11,3,0,0
13,853,11,3,0,0
19,1239,11,3,0,0
14,921,11,3,0,0
10,654,11,3,0,0
24,1569,11,3,0,0
11,713,11,3,0,0
7,442,9,3,0,0
8,521,11,3,0,0
21,1380,11,3,0,0
14,913,11,3,0,0
9,588,11,3,0,0
20,1337,11,3,0,0
13,850,11,3,0,0
23,1523,11,3,0,0
18,1181,11,3,0,0
18,1185,11,3,0,0
19,1232,11,3,0,0
15,1001,11,3,0,0
17,1128,11,3,0,0
16,1048,11,3,0,0
22,1466,11,3,0,0
12,806,11,3,0,0
25,1661,11,3,0,0
13,852,11,3,0,0
19,1238,11,3,0,0
14,920,11,3,0,0
10,653,11,3,0,0
24,1568,11,3,0,0
11,712,11,3,0,0
7,441,9,3,0,0
8,520,11,3,0,0
21,1379,11,3,0,0
14,912,11,3,0,0
9,587,11,3,0,0
20,1336,11,3,0,0
13,849,11,3,0,0
23,1522,11,3,0,0
18,1180,11,3,0,0
18,1184,11,3,0,0
19,1231,11,3,0,0
15,1000,11,3,0,0
17,1127,11,3,0,0
16,1047,11,3,0,0
22,1465,11,3,0,0
12,805,11,3,0,0
25,1660,11,3,0,0
13,851,11,3,0,0
19,1237,11,3,0,0
14,919,11,3,0,0
10,652,11,3,0,0
24,1567,11,3,0,0
11,711,11,3,0,0
7,440,9,3,0,0
8,519,11,3,0,0
21,1378,11,3,0,0
14,911,11,3,0,0
9,586,11,3,0,0
20,1335,11,3,0,0
13,848,11,3,0,0
23,1521,11,3,0,0
18,1179,11,3,0,0
18,1183,11,3,0,0
19,1230,11,3,0,0
15,999,11,3,0,0
17,1126,11,3,0,0
16,1046,11,3,0,0
22,1464,11,3,0,0
12,804,11,3,0,0
25,1659,11,3,0,0
13,850,11,3,0,0
19,1236,11,3,0,0
14,918,11,3,0,0
10,651,11,3,0,0
24,1566,11,3,0,0
11,710,11,3,0,0
7,439,9,3,0,0
8,518,11,3,0,0
21,1377,11,3,0,0
14,910,11,3,0,0
9,585,11,3,0,0
20,1334,11,3,0,0
13,847,11,3,0,0
23,1520
