dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
2488,1,0,0,0,0,0,2,4,-130933,-146442594,-4365,0,UDP,1,2527,856,0,0,0,0
7128,3,776,76636,130,233000000,130000000000,3,1943,29,2842,0,1,TCP,1,4659,3488,0,0,0,1
11995,4,41394,6261858,259,419000000,259000000000,5,3021,8167,525074,272,1,ICMP,3,2503925,11932179,0,0,2,0
30042,5,95062,74559789,421,705000000,422000000000,7,7385,9891,9691642,329,1,UDP,1,135518338,142171720,173,333,2654,1
42035,4,53509,59385746,121,293000000,121000000000.0,7,12549,13111,14758006,437,1,TCP,1,5436,1312,0,0.0,0.0,0
30921,6,755,73990,773,221000000,773000000000.0,9,4942,29,2842,0,1,ICMP,3,406285435,135713477,2,2.0,4.0,0
11124,3,284,302744,0,837000000,837000000.0,2,558,0,0,0,0,UDP,1,3096,1032,0,0.0,0.0,0
41163,3,94683,104548982,213,320000000,213000000000.0,7,8050,13332,14772520,444,1,TCP,3,109047887,7477342,4297,438.0,4735.0,0
7512,9,870,85260,891,508000000,892000000000.0,5,3443,29,2842,0,0,ICMP,4,88522,88075,0,0.0,0.0,0
31063,4,99959,5397786,340,306000000,340000000000.0,5,3982,7806,421524,260,1,TCP,1,4938643,4594804,121,113.0,234.0,1
4517,5,212034,11449836,360,992000000,361000000000.0,3,1143,17944,968976,598,1,TCP,3,4797,1492,0,0.0,0.0,1
4517,5,105722,6131876,357,4000000,357000000000.0,3,1143,8972,520376,299,1,TCP,5,6532738,147122626,0,0.0,0.0,1
41313,7,61131,3301074,203,267000000,203000000000.0,5,8050,8852,478008,295,1,TCP,3,7496123,8123515,255,274.0,529.0,1
11785,3,115877,120743834,410,556000000,411000000000.0,2,1943,5880,6126960,196,0,UDP,1,3952,1312,0,0.0,0.0,1
14561,6,1183,161175,527,222000000,527000000000.0,4,5681,926,255097,245,1,TCP,3,8899,1490,0,0.0,0.0,0
25892,10,1000,109036,531,943000000,531000000000.0,3,15142,834,271150,259,1,UDP,2,1614,1232,0,0.0,0.0,1
33984,2,3,79,14,3000000,14000000.0,2,2,2,39,1,0,TCP,3,38,41,0,0.0,0.0,0
42935,10,260006,147128002,1881,999000000,1880000000000,17,25224,19190,14953872,639,1,UDP,4,1269981973,990596183,9473,9473,9572,0
