pktcount,bytecount,dur,flows,Protocol,tot_kbps,label
67967,917,89866,939,7,ICMP,2.0,0
44631,42432,2291328,135,7,TCP,0.0,0
43673,57767,63395158,130,11,TCP,0.0,0
102459,352,34496,361,5,ICMP,2.0,0
103296,694,68012,711,5,ICMP,2.0,0
4090,44980,46869160,143,4,UDP,0.0,1
36469,190018,10260972,324,5,TCP,110.0,1
54209,35625,37121250,101,5,ICMP,5734.0,1
14985,44971,46859782,143,5,UDP,0.0,1
71300,125746,6790284,430,5,TCP,0.0,1
83737,813,77204,841,7,ICMP,8.0,0
82231,1020,94860,1043,7,ICMP,3.0,0
81418,2958,278062,3020,5,ICMP,2.0,0
81112,2220,210040,2262,5,ICMP,2.0,0
85009,814,77296,842,7,ICMP,2.0,0
84424,3195,302210,3258,5,ICMP,2.0,0
83963,1110,104590,1136,7,ICMP,2.0,0
83700,1090,102310,1117,7,ICMP,2.0,0
83537,3240,307520,3303,5,ICMP,2.0,0
78838,3986,381694,4063,5,TCP,0.0,0
78981,5173,494593,5259,5,TCP,0.0,0
79218,4647,442013,4732,5,TCP,0.0,0
79655,3259,308771,3322,5,TCP,0.0,0
79892,3444,326936,3510,5,TCP,0.0,0
80461,5066,484482,5152,5,TCP,0.0,0
80687,5147,492773,5233,5,TCP,0.0,0
81032,4242,402082,4327,5,TCP,0.0,0
81562,3285,310755,3348,5,TCP,0.0,0
81721,3118,294578,3181,5,TCP,0.0,0
81886,4960,474080,5046,5,TCP,0.0,0
82278,3659,346781,3735,5,TCP,0.0,0
82737,3053,288037,3116,5,TCP,0.0,0
82917,4306,408622,4391,5,TCP,0.0,0
83180,4133,391373,4218,5,TCP,0.0,0
83533,3730,352590,3805,5,TCP,0.0,0
83717,3062,288914,3125,5,TCP,0.0,0
84153,3166,299594,3229,5,TCP,0.0,0
84337,4197,397773,4282,5,TCP,0.0,0
84539,3271,309459,3334,5,TCP,0.0,0
84777,3274,309748,3337,5,TCP,0.0,0
85046,4161,394581,4246,5,TCP,0.0,0
85231,4234,401222,4319,5,TCP,0.0,0
85555,3125,295125,3188,5,TCP,0.0,0
85782,3297,311814,3360,5,TCP,0.0,0
86048,3270,309270,3333,5,TCP,0.0,0
86222,4127,390727,4212,5,TCP,0.0,0
86537,3319,313919,3382,5,TCP,0.0,0
86700,4170,395470,4255,5,TCP,0.0,0
86950,3270,309270,3333,5,TCP,0.0,0
87177,3298,311918,3361,5,TCP,0.0,0
87374,4148,392848,4233,5,TCP,0.0,0
87608,3305,312305,3368,5,TCP,0.0,0
87845,3295,311795,3358,5,TCP,0.0,0
88070,4264,404240,4349,5,TCP,0.0,0
88288,3290,311140,3353,5,TCP,0.0,0
88517,3297,311917,3360,5,TCP,0.0,0
88720,4192,397120,4277,5,TCP,0.0,0
88971,3286,310626,3349,5,TCP,0.0,0
89205,3302,312102,3365,5,TCP,0.0,0
89434,3298,311918,3361,5,TCP,0.0,0
89676,4228,400728,4313,5,TCP,0.0,0
89894,3288,310848,3351,5,TCP,0.0,0
90139,3297,311917,3360,5,TCP,0.0,0
90366,3299,312019,3362,5,TCP,0.0,0
90604,4259,403659,4344,5,TCP,0.0,0
90825,3295,311795,3358,5,TCP,0.0,0
91054,3298,311918,3361,5,TCP,0.0,0
91290,4223,400230,4308,5,TCP,0.0,0
91514,3296,311816,3359,5,TCP,0.0,0
91741,3297,311917,3360,5,TCP,0.0,0
91962,4170,395470,4255,5,TCP,0.0,0
92193,3286,310626,3349,5,TCP,0.0,0
92422,3297,311917,3360,5,TCP,0.0,0
92658,4227,400648,4312,5,TCP,0.0,0
92887,3297,311917,3360,5,TCP,0.0,0
93114,3298,311918,3361,5,TCP,0.0,0
93350,4228,400728,4313,5,TCP,0.0,0
93571,3297,311917,3360,5,TCP,0.0,0
93798,3298,311918,3361,5,TCP,0.0,0
