pktcount,bytecount,dur,flows,Protocol,tot_kbps,label
67967,917,89866,939,7,ICMP,2.0,0
44631,42432,2291328,135,7,TCP,0.0,0
43673,57767,63395158,130,11,TCP,0.0,0
102459,352,34496,361,5,ICMP,2.0,0
103296,694,68012,711,5,ICMP,2.0,0
4090,44980,46869160,143,4,UDP,0.0,1
36469,190018,10260972,324,5,TCP,110.0,1
54209,35625,37121250,101,5,ICMP,5734.0,1
14985,44971,46859782,143,5,UDP,0.0,1
71300,125746,6790284,430,5,TCP,0.0,1
93349,3538,344810,362,7,ICMP,2.0,0
76415,50343,50896110,139,10,TCP,0.0,0
103692,2588,261564,265,5,ICMP,2.0,0
4356,76616,78853608,153,4,UDP,0.0,1
2566,1839,177514,174,6,TCP,0.0,0
87318,1499,151882,152,7,ICMP,2.0,0
24467,92991,95730239,323,7,TCP,0.0,1
81359,716,73242,722,6,ICMP,2.0,0
100973,1429,146055,144,5,UDP,0.0,1
52196,20621,21253366,134,4,TCP,0.0,1
83951,739,76233,746,5,ICMP,2.0,0
81456,2559,261421,265,6,TCP,0.0,0
83918,564,57916,573,7,UDP,0.0,1
68266,622,64318,629,5,ICMP,2.0,0
85745,4521,462945,458,6,TCP,0.0,0
97958,567,58455,574,5,UDP,0.0,1
14073,935,91835,922,5,ICMP,2.0,0
83424,1145,117045,116,6,TCP,0.0,0
103389,890,91290,902,6,UDP,0.0,1
88299,1779,181621,180,5,ICMP,2.0,0
59806,3899,401890,397,5,TCP,0.0,0
100425,739,76233,746,7,UDP,0.0,1
19295,2230,221730,220,6,ICMP,2.0,0
71540,1936,197264,195,4,TCP,0.0,0
83733,1235,126315,125,5,UDP,0.0,1
81207,890,91290,902,7,ICMP,2.0,0
87868,2948,302472,299,5,TCP,0.0,0
91429,1779,181621,180,5,UDP,0.0,1
82937,821,84297,827,6,ICMP,2.0,0
94490,3899,401890,397,4,TCP,0.0,0
97631,1235,126315,125,5,UDP,0.0,1
90894,890,91290,902,6,ICMP,2.0,0
96656,1936,197264,195,5,TCP,0.0,0
100822,2230,221730,220,6,UDP,0.0,1
92277,739,76233,746,7,ICMP,2.0,0
98443,2948,302472,299,5,TCP,0.0,0
99758,821,84297,827,4,UDP,0.0,1
93760,890,91290,902,5,ICMP,2.0,0
95987,1145,117045,116,6,TCP,0.0,0
99084,1779,181621,180,5,UDP,0.0,1
95333,567,58455,574,7,ICMP,2.0,0
97160,3899,401890,397,5,TCP,0.0,0
99395,716,73242,722,6,UDP,0.0,1
