pktcount,bytecount,dur,flows,Protocol,tot_kbps,label
67967,917,89866,939,7,ICMP,2.0,0
44631,42432,2291328,135,7,TCP,0.0,0
43673,57767,63395158,130,11,TCP,0.0,0
102459,352,34496,361,5,ICMP,2.0,0
103296,694,68012,711,5,ICMP,2.0,0
4090,44980,46869160,143,4,UDP,0.0,1
36469,190018,10260972,324,5,TCP,110.0,1
54209,35625,37121250,101,5,ICMP,5734.0,1
14985,44971,46859782,143,5,UDP,0.0,1
71300,125746,6790284,430,5,TCP,0.0,1
23961,711,69076,726,7,ICMP,0.0,0
76945,908,89742,923,7,ICMP,0.0,0
94510,1427,140786,1445,7,ICMP,0.0,0
62476,9337,947998,136,6,TCP,0.0,0
74441,87902,5053454,277,5,TCP,0.0,0
72433,1145,112865,1162,7,ICMP,0.0,0
87310,865,85350,882,7,ICMP,0.0,0
19081,1141,112205,1158,7,ICMP,0.0,0
88231,3417,338873,3449,7,ICMP,0.0,1
95912,1156,113936,1173,7,ICMP,0.0,1
84519,1414,140066,1431,7,ICMP,0.0,1
71913,3500,347500,3522,7,ICMP,0.0,1
81725,1419,140581,1436,7,ICMP,0.0,0
63689,1616,160144,1633,7,ICMP,0.0,0
73967,848,83296,865,7,ICMP,0.0,0
50391,879,86729,896,7,ICMP,0.0,0
53757,741,72777,758,7,ICMP,0.0,1
73784,1433,141962,1450,7,ICMP,0.0,1
85767,1409,139521,1426,7,ICMP,0.0,1
92745,1151,113401,1168,7,ICMP,0.0,1
83948,868,85688,885,7,ICMP,0.0,0
94576,1396,138176,1413,7,ICMP,0.0,0
78508,731,71748,748,7,ICMP,0.0,0
94500,1425,141050,1442,7,ICMP,0.0,1
58592,3575,355125,3597,7,ICMP,0.0,1
91812,1146,112946,1163,7,ICMP,0.0,1
95967,1412,139744,1429,7,ICMP,0.0,1
