pktcount,bytecount,dur,flows,Protocol,tot_kbps,label
67967,917,89866,939,7,ICMP,2.0,0
44631,42432,2291328,135,7,TCP,0.0,0
43673,57767,63395158,130,11,TCP,0.0,0
102459,352,34496,361,5,ICMP,2.0,0
103296,694,68012,711,5,ICMP,2.0,0
4090,44980,46869160,143,4,UDP,0.0,1
36469,190018,10260972,324,5,TCP,110.0,1
54209,35625,37121250,101,5,ICMP,5734.0,1
14985,44971,46859782,143,5,UDP,0.0,1
71300,125746,6790284,430,5,TCP,0.0,1
71728,935,89788,941,7,ICMP,2.0,0
89812,41002,2270328,138,7,TCP,0.0,0
84783,56113,63495158,133,11,TCP,0.0,0
189859,362,34396,364,5,ICMP,2.0,0
131296,624,68202,715,5,ICMP,2.0,0
7090,41980,46899160,146,4,UDP,0.0,1
46469,189028,10261952,327,5,TCP,110.0,1
84209,35635,37122250,104,5,ICMP,5734.0,1
24985,43971,46869782,146,5,UDP,0.0,1
81300,125746,6790384,433,5,TCP,0.0,1
51728,915,89888,943,7,ICMP,2.0,0
19812,40102,2270328,141,7,TCP,0.0,0
14783,56213,63495158,136,11,TCP,0.0,0
289859,342,34296,367,5,ICMP,2.0,0
231296,654,68402,719,5,ICMP,2.0,0
10090,40980,46909160,149,4,UDP,0.0,1
56469,189018,10262952,330,5,TCP,110.0,1
94209,35645,37123250,107,5,ICMP,5734.0,1
34985,42971,46879782,149,5,UDP,0.0,1
91300,125746,6790484,436,5,TCP,0.0,1
61728,955,89788,945,7,ICMP,2.0,0
29812,41102,2270428,144,7,TCP,0.0,0
24783,56313,63496158,139,11,TCP,0.0,0
389859,322,34196,370,5,ICMP,2.0,0
331296,684,68602,723,5,ICMP,2.0,0
20090,40880,46919160,152,4,UDP,0.0,1
66469,189008,10263952,333,5,TCP,110.0,1
104209,35665,37124250,110,5,ICMP,5734.0,1
44985,41971,46889782,152,5,UDP,0.0,1
101300,125746,6790584,439,5,TCP,0.0,1
71728,935,89788,947,7,ICMP,2.0,0
39812,40202,2270528,147,7,TCP,0.0,0
34783,56413,63497158,142,11,TCP,0.0,0
489859,302,34096,373,5,ICMP,2.0,0
431296,714,68802,727,5,ICMP,2.0,0
30090,40780,46929160,155,4,UDP,0.0,1
76469,188998,10264952,336,5,TCP,110.0,1
114209,35675,37125250,113,5,ICMP,5734.0,1
54985,40971,46899782,155,5,UDP,0.0,1
111300,125746,6790684,442,5,TCP,0.0,1
