pktcount,bytecount,dur,flows,Protocol,tot_kbps,label
67967,917,89866,939,7,ICMP,2.0,0
44631,42432,2291328,135,7,TCP,0.0,0
43673,57767,63395158,130,11,TCP,0.0,0
102459,352,34496,361,5,ICMP,2.0,0
103296,694,68012,711,5,ICMP,2.0,0
4090,44980,46869160,143,4,UDP,0.0,1
36469,190018,10260972,324,5,TCP,110.0,1
54209,35625,37121250,101,5,ICMP,5734.0,1
14985,44971,46859782,143,5,UDP,0.0,1
71300,125746,6790284,430,5,TCP,0.0,1
87706,2639,181654,280,7,ICMP,0.0,0
91919,5435,451230,719,5,ICMP,0.0,0
83900,844,73536,766,5,ICMP,0.0,0
1418,44948,46839452,143,7,UDP,0.0,1
98505,1787,142942,637,5,ICMP,0.0,0
82287,1925,154050,843,4,TCP,0.0,0
93419,5331,442671,731,5,ICMP,0.0,0
749,44958,46846196,143,7,UDP,0.0,1
80298,1319,105522,735,5,ICMP,0.0,0
84433,1741,140883,827,4,TCP,0.0,0
94542,5647,465083,723,5,ICMP,0.0,0
811,44933,46821245,143,7,UDP,0.0,1
75156,1593,127464,722,5,ICMP,0.0,0
94200,1753,141617,821,4,TCP,0.0,0
84559,5647,465083,723,5,ICMP,0.0,0
982,44947,46838346,143,7,UDP,0.0,1
