dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
11935,2,10.0.0.4,10.0.0.8,18301,19508866,40,655000000,40655000000.0,2,2175,13640,14540240,454,0,UDP,4,722331918,5774,3839,0.0,3839.0,0,1
32493,7,10.0.0.3,10.0.0.11,86,8428,88,429000000,88429000000.0,3,20,30,2940,1,1,ICMP,1,4240,1172,0,0.0,0.0,0,1
30252,4,10.0.0.7,10.0.0.6,605,59290,619,974000000,620000000000.0,9,2053,30,2940,1,1,ICMP,3,270699521,271093229,0,0.0,0.0,0,1
26807,4,10.0.0.3,10.0.0.7,118,11564,121,231000000,121000000000.0,9,948,30,2940,1,1,ICMP,2,20121492,18144,2322,1.0,2323.0,0,1
29352,1,10.0.0.1,10.0.0.7,341,33418,350,91000000,350000000000.0,4,1057,29,2842,0,1,ICMP,2,119011033,1914,2478,0.0,2478.0,0,1
11589,3,10.0.0.6,10.0.0.5,190371,10280034,314,116000000,314000000000.0,5,6696,16712,902448,557,1,TCP,1,7523149,7001552,0,0.0,0.0,1,1
2638,3,10.0.0.10,10.0.0.3,15112,15746704,46,483000000,46483000000.0,3,2375,9701,10108442,323,0,UDP,3,86743136,3530,6527,0.0,6527.0,1,1
9966,5,10.0.0.18,10.0.0.7,57505,59920210,183,440000000,183000000000.0,3,1931,9456,9853152,315,0,UDP,2,3444,1242,0,0.0,0.0,1,1
11395,5,10.0.0.20,10.0.0.8,69583,72505486,220,793000000,221000000000.0,3,1943,9343,9735406,311,0,UDP,3,3875,122775421,0,9473.0,9473.0,1,1
24630,5,10.0.0.10,10.0.0.8,37959,39553278,142,635000000,143000000000.0,11,2997,8284,8631928,276,1,ICMP,3,39457623,39805581,2295,2295.0,4590.0,1,1
11111,2,10.0.0.7,10.0.0.2,14243,14872902,30,90000000,30100000000.0,3,2053,30,2940,1,1,ICMP,2,4567,890,0,0.0,0.0,0,0
22222,1,10.0.0.11,10.0.0.4,25001,26001210,60,390000000,60100000000.0,4,948,30,2940,1,1,ICMP,1,5678,1234,0,0.0,0.0,0,0
33333,7,10.0.0.5,10.0.0.9,36369,37369029,90,580000000,90100000000.0,5,6696,16712,902448,557,1,TCP,3,3456,7890,0,0.0,0.0,1,0
44444,4,10.0.0.8,10.0.0.1,47337,48337048,120,770000000,120100000000.0,6,1931,9456,9853152,315,0,UDP,2,6789,2345,0,0.0,0.0,1,0
55555,3,10.0.0.2,10.0.0.10,58305,59305067,150,960000000,150100000000.0,7,1943,9343,9735406,311,0,UDP,3,8901,3456,0,9473.0,9473.0,1,0
66666,5,10.0.0.9,10.0.0.3,69273,70273086,180,1150000000,180100000000.0,8,2997,8284,8631928,276,1,ICMP,2,2345,6789,2295,2295.0,4590.0,1,0
77777,4,10.0.0.4,10.0.0.6,80241,81241025,210,1340000000,210100000000.0,9,2053,30,2940,1,1,ICMP,1,3456,7890,0,0.0,0.0,0,0
88888,1,10.0.0.6,10.0.0.8,91209,92209054,240,1530000000,240100000000.0,10,948,30,2940,1,1,ICMP,3,4567,8901,0,0.0,0.0,0,0
99999,7,10.0.0.8,10.0.0.5,102177,103177083,270,1720000000,270100000000.0,11,6696,16712,902448,557,1,TCP,2,5678,1234,0,0.0,0.0,1,0
100001,5,10.0.0.5,10.0.0.11,113145,114145112,300,1910000000,300100000000.0,12,1931,9456,9853152,315,0,UDP,1,6789,2345,0,0.0,0.0,1,0
100002,4,10.0.0.11,10.0.0.7,124113,125113130,330,2100000000,330100000000.0,13,1943,9343,9735406,311,0,UDP,2,7890,3456,0,9473.0,9473.0,1,0
100003,3,10.0.0.7,10.0.0.2,135081,136081149,360,2290000000,360100000000.0,14,2997,8284,8631928,276,1,ICMP,3,8901,4567,2295,2295.0,4590.0,1,0
100004,2,10.0.0.2,10.0.0.10,146049,147049168,390,2480000000,390100000000.0,15,2053,30,2940,1,1,ICMP,2,1234,5678,0,0.0,0.0,0,0
100005,1,10.0.0.10,10.0.0.4,157017,158021187,420,2670000000,420100000000.0,16,948,30,2940,1,1,ICMP,1,2345,6789,0,0.0,0.0,0,0
100006,7,10.0.0.4,10.0.0.9,167985,169028206,450,2860000000,450100000000.0,17,6696,16712,902448,557,1,TCP,3,3456,7890,0,0.0,0.0,1,0
100007,5,10.0.0.9,10.0.0.3,178953,179985222,480,3050000000,480100000000.0,18,1931,9456,9853152,315,0,UDP,2,4567,8901,0,0.0,0.0,1,0
100008,4,10.0.0.3,10.0.0.11,189921,190921341,510,3240000000,510100000000.0,19,1943,9343,9735406,311,0,UDP,1,5678,1234,0,9473.0,9473.0,1,0
100009,3,10.0.0.11,10.0.0.7,200988,202020360,540,3430000000,540100000000.0,20,2997,8284,8631928,276,1,ICMP,2,6789,2345,2295,2295.0,4590.0,1,0
100010,2,10.0.0.7,10.0.0.2,211956,21301
