dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
7199,3,10.0.0.2,10.0.0.3,1941,193886,229,294000000,229000000000.0,4,2599,2183,2140605,103,1,UDP,4,3775,3135,0,0.0,0.0,1
14372,5,10.0.0.2,10.0.0.3,1335,132620,143,82000000,143000000000.0,3,1788,29,2842,0,1,ICMP,4,4545,4289,0,0.0,0.0,0
8128,1,10.0.0.3,10.0.0.2,1272,126688,97,72000000,97000000000.0,4,1827,2183,2140605,103,1,UDP,4,3775,3135,0,0.0,0.0,1
12053,4,10.0.0.1,10.0.0.3,1663,165790,195,92000000,195000000000.0,4,2048,29,2842,0,1,ICMP,3,5010,114528,0,2492.0,2492.0,1
873,7,10.0.0.2,10.0.0.3,3137,312786,339,480000000,339000000000.0,4,2599,2183,2140605,103,1,UDP,4,3775,3135,0,0.0,0.0,1
1814,7,10.0.0.1,10.0.0.3,2461,245518,269,385000000,269000000000.0,4,2048,29,2842,0,1,ICMP,3,5010,114528,0,2492.0,2492.0,1
19074,5,10.0.0.3,10.0.0.2,1445,143910,155,860000000,155000000000.0,4,1827,2183,2140605,103,1,UDP,4,3775,3135,0,0.0,0.0,0
14002,7,10.0.0.3,10.0.0.1,1683,167790,195,92000000,195000000000.0,3,1788,29,2842,0,1,ICMP,4,4545,4289,0,0.0,0.0,1
11392,3,10.0.0.3,10.0.0.2,1250,124480,97,72000000,97000000000.0,3,1788,29,2842,0,1,ICMP,4,4545,4289,0,0.0,0.0,1
2082,4,10.0.0.2,10.0.0.3,2441,243518,269,385000000,269000000000.0,3,1788,29,2842,0,1,ICMP,4,4545,4289,0,0.0,0.0,0
16229,6,10.0.0.3,10.0.0.1,1425,141910,155,860000000,155000000000.0,4,2048,29,2842,0,1,ICMP,3,5010,114528,0,2492.0,2492.0,0
1705,1,10.0.0.2,10.0.0.3,3117,311286,339,480000000,339000000000.0,3,1788,29,2842,0,1,ICMP,4,4545,4289,0,0.0,0.0,1
...
39990,4,10.0.0.3,10.0.0.2,1250,124480,97,72000000,97000000000.0,4,1827,2183,2140605,103,1,UDP,4,3775,3135,0,0.0,0.0,1
24491,6,10.0.0.2,10.0.0.3,2441,243518,269,385000000,269000000000.0,4,2599,2183,2140605,103,1,UDP,4,3775,3135,0,0.0,0.0,0
20572,7,10.0.0.1,10.0.0.3,1663,165790,195,92000000,195000000000.0,3,1788,29,2842,0,1,ICMP,4,4545,4289,0,0.0,0.0,1
12003,1,10.0.0.3,10.0.0.2,1272,126688,97,72000000,97000000000.0,3,1788,29,2842,0,1,ICMP,4,4545,4289,0,0.0,0.0,0
17863,5,10.0.0.2,10.0.0.3,1335,132620,143,82000000,143000000000.0,4,2048,29,2842,0,1,ICMP,3,5010,114528,0,2492.0,2492.0,1
1814,7,10.0.0.3,10.0.0.1,2461,245518,269,385000000,269000000000.0,4,1827,2183,2140605,103,1,UDP,4,3775,3135,0,0.0,0.0,1
41995,3,10.0.0.1,10.0.0.3,1941,193886,229,294000000,229000000000.0,3,1788,29,2842,0,1,ICMP,4,4545,4289,0,0.0,0.0,0
